h,years,n,frequency,hit_rate,base_rate,lift,forward_benefit_bps,year_lift_min,corridor_lift_min,corridor_freq_min,corridor_freq_max,cooldown_days,timing_condition
1,"(2022, 2023)",715,1.394150417827298,1.0,0.5311740890688259,1.8826219512195121,111.30823364337385,1.7668097281831185,1.8161764705882353,1.3259052924791086,1.4331476323119778,3,send only after next effective CBR rate is published
1,"(2024, 2025, 2026)",948,1.3753367875647668,1.0,0.5161585365853658,1.9373892498523333,63.606471681755544,1.8008948545861299,1.901449275362319,1.3419689119170983,1.4217616580310881,3,send only after next effective CBR rate is published
3,"(2022, 2023)",715,1.394150417827298,0.7496503496503496,0.38582995951417004,1.9429552608985976,136.39301760407724,1.792133098068709,1.8764460098760318,1.3259052924791086,1.4331476323119778,3,send only after next effective CBR rate is published
3,"(2024, 2025, 2026)",938,1.3664932362122788,0.685501066098081,0.354434250764526,1.9340711700955349,75.64569186034554,1.799399936835456,1.774281063483451,1.332986472424558,1.413111342351717,3,send only after next effective CBR rate is published
5,"(2022, 2023)",715,1.394150417827298,0.6265734265734266,0.32793522267206476,1.9106621773288441,143.12426200677197,1.7445654001816204,1.8473167044595618,1.3259052924791086,1.4331476323119778,3,send only after next effective CBR rate is published
5,"(2024, 2025, 2026)",938,1.3693430656934307,0.5767590618336887,0.294478527607362,1.9585776474769012,77.84396546317521,1.8188598997016443,1.8010161298278498,1.3357664233576643,1.416058394160584,3,send only after next effective CBR rate is published
10,"(2022, 2023)",715,1.394150417827298,0.4909090909090909,0.2574898785425101,1.9065180102915953,159.737670913754,1.7706535229753055,1.8524374176548088,1.3259052924791086,1.4331476323119778,3,send only after next effective CBR rate is published
10,"(2024, 2025, 2026)",928,1.3647058823529412,0.4515086206896552,0.22812982998454404,1.9791739673862259,80.8789137326654,1.7268596029657977,1.8380681818181819,1.3308823529411764,1.411764705882353,3,send only after next effective CBR rate is published
20,"(2022, 2023)",715,1.394150417827298,0.393006993006993,0.20526315789473684,1.9146494531109914,175.50307237493405,1.8032156618803241,1.8181818181818181,1.3259052924791086,1.4331476323119778,3,send only after next effective CBR rate is published
20,"(2024, 2025, 2026)",908,1.355223880597015,0.31497797356828194,0.16577708006279435,1.9000091776798826,85.40161646973446,1.7134535367545074,1.7391263415552627,1.3208955223880596,1.4029850746268657,3,send only after next effective CBR rate is published
