h_calendar_days,n,frequency,hit_rate,base_rate,lift,forward_benefit_bps,corridor_lift_min,corridor_freq_min,corridor_freq_max,decision_days,cooldown_days
1,948,1.3753367875647668,1.0,0.6173780487804879,1.619753086419753,50.4029760317278,1.6,1.3419689119170983,1.4217616580310881,publication_only_after_next_rate_release,3
3,943,1.3723492723492725,0.8154825026511134,0.4448854961832061,1.833016606851336,62.38083105403048,1.7578632478632479,1.338877338877339,1.418918918918919,publication_only_after_next_rate_release,3
5,938,1.3664932362122788,0.6865671641791045,0.3599388379204893,1.907455078050698,70.45788551506631,1.7600298099614953,1.332986472424558,1.413111342351717,publication_only_after_next_rate_release,3
10,933,1.3677486910994765,0.5262593783494105,0.27415384615384614,1.9195768570545277,77.36362153560461,1.7779648089213855,1.3340314136125655,1.4146596858638745,publication_only_after_next_rate_release,3
20,918,1.3585623678646934,0.39760348583877997,0.2052877138413686,1.9368109196540568,85.68922025765728,1.7874351371386212,1.324524312896406,1.4059196617336152,publication_only_after_next_rate_release,3
