period,currency,n,fav_h5_base_rate,mean_abs_daily_move_bps,daily_move_std_bps,pct90_mean,share_at_90d_high
pre_2022,TJS,1263,0.2509897070467142,57.64954185745137,89.9963008236746,37.39632051922453,0.04433887569279493
pre_2022,UZS,1263,0.23594615993665874,62.156194132208405,159.25619718697303,29.09648106786313,0.050673000791765635
pre_2022,KGS,1263,0.2494061757719715,58.09058831594156,91.32938838953189,40.664812418938915,0.047505938242280284
pre_2022,AMD,1263,0.2604908946951702,57.50799194418788,82.51265026285404,47.78867369313234,0.06809184481393507
pre_2022,KZT,1263,0.24228028503562946,43.51551773497351,62.01309362891401,39.686028644891095,0.035629453681710214
shock_adaptation,TJS,462,0.33766233766233766,120.33338812062956,234.35857559657305,62.560868627794356,0.15584415584415584
shock_adaptation,UZS,462,0.31601731601731603,110.35815146357885,196.69739611023826,56.62141877113696,0.17965367965367965
shock_adaptation,KGS,462,0.3116883116883117,114.3603643366102,205.1240367754858,57.02580276998453,0.17965367965367965
shock_adaptation,AMD,462,0.3333333333333333,111.49751265021,195.90819720282866,63.35366687116223,0.24025974025974026
shock_adaptation,KZT,462,0.30303030303030304,119.37845980799787,191.77093750436015,56.49330232159643,0.1645021645021645
mature_postshock,TJS,652,0.3205521472392638,65.04540557439294,92.93791650389923,50.24440336770611,0.14570552147239263
mature_postshock,UZS,652,0.294478527607362,68.5709145361468,94.82959598806072,42.68395606490274,0.08742331288343558
mature_postshock,KGS,652,0.2929447852760736,62.47015936325919,89.47758215745874,42.75013312328008,0.1196319018404908
mature_postshock,AMD,652,0.29754601226993865,63.486731817734544,89.40060560777933,44.59516027396139,0.1411042944785276
mature_postshock,KZT,652,0.2668711656441718,75.15076896644429,105.51354878245206,43.288336438161515,0.09969325153374232
