currency,field,level,n,hit_rate,lift
TJS,month,1,92,0.13043478260869565,0.513089609041633
TJS,month,2,117,0.18803418803418803,0.7396676415244055
TJS,month,3,126,0.18253968253968253,0.7180539766746663
TJS,month,4,130,0.18461538461538463,0.7262191389512346
TJS,month,5,114,0.32456140350877194,1.2767229745451163
TJS,month,6,121,0.17355371900826447,0.6827060087248176
TJS,month,7,133,0.3007518796992481,1.1830637601962466
TJS,month,8,133,0.3308270676691729,1.3013701362158712
TJS,month,9,128,0.296875,1.1678133289124668
TJS,month,10,133,0.2781954887218045,1.094333978181528
TJS,month,11,122,0.36065573770491804,1.4187067878418926
TJS,month,12,134,0.26119402985074625,1.027455560394315
TJS,dow,0,1,0.0,0.0
TJS,dow,1,284,0.24295774647887325,0.9557197295176898
TJS,dow,2,297,0.2356902356902357,0.9271316167867892
TJS,dow,3,300,0.25666666666666665,1.0096463306808134
TJS,dow,4,300,0.25666666666666665,1.0096463306808134
TJS,dow,5,294,0.272108843537415,1.0703910211299374
TJS,dow,6,7,0.5714285714285714,2.2478211443728684
UZS,month,1,92,0.22826086956521738,0.9455610881709983
UZS,month,2,117,0.15384615384615385,0.6373012462397938
UZS,month,3,126,0.18253968253968253,0.756162986609914
UZS,month,4,130,0.16923076923076924,0.7010313708637732
UZS,month,5,114,0.34210526315789475,1.417156718612173
UZS,month,6,121,0.19008264462809918,0.7874093910152824
UZS,month,7,133,0.2857142857142857,1.1835594573024741
UZS,month,8,133,0.2781954887218045,1.1524131557945143
UZS,month,9,128,0.2734375,1.1327033868715084
UZS,month,10,133,0.21052631578947367,0.8720964422228756
UZS,month,11,122,0.3442622950819672,1.4260921329792107
UZS,month,12,134,0.23880597014925373,0.9892437255065455
UZS,dow,0,1,0.0,0.0
UZS,dow,1,284,0.22183098591549297,0.9189255645605477
UZS,dow,2,297,0.2255892255892256,0.9344939149408423
UZS,dow,3,300,0.25666666666666665,1.0632309124767225
UZS,dow,4,300,0.27,1.1184636871508382
UZS,dow,5,294,0.22448979591836735,0.9299395735948011
UZS,dow,6,7,0.5714285714285714,2.3671189146049483
KGS,month,1,92,0.17391304347826086,0.6716485507246376
KGS,month,2,117,0.13675213675213677,0.5281339031339032
KGS,month,3,126,0.21428571428571427,0.8275669642857142
KGS,month,4,130,0.2230769230769231,0.8615184294871795
KGS,month,5,114,0.42105263157894735,1.62609649122807
KGS,month,6,121,0.19834710743801653,0.7660123966942148
KGS,month,7,133,0.3082706766917293,1.190534931077694
KGS,month,8,133,0.3157894736842105,1.2195723684210524
KGS,month,9,128,0.265625,1.0258382161458333
KGS,month,10,133,0.21804511278195488,0.8420856829573934
KGS,month,11,122,0.3442622950819672,1.3295338114754098
KGS,month,12,134,0.26865671641791045,1.0375466417910448
KGS,dow,0,1,0.0,0.0
KGS,dow,1,284,0.24647887323943662,0.9518962734741784
KGS,dow,2,297,0.2356902356902357,0.9102307800224467
KGS,dow,3,300,0.27,1.042734375
KGS,dow,4,300,0.27666666666666667,1.0684809027777777
KGS,dow,5,294,0.2585034013605442,0.9983347505668935
KGS,dow,6,7,0.5714285714285714,2.2068452380952377
AMD,month,1,92,0.2717391304347826,1.030662737684866
AMD,month,2,117,0.1623931623931624,0.6159310993070585
AMD,month,3,126,0.19047619047619047,0.7224454999391061
AMD,month,4,130,0.2076923076923077,0.7877434585874484
AMD,month,5,114,0.30701754385964913,1.1644680755597434
AMD,month,6,121,0.24793388429752067,0.9403732747141258
AMD,month,7,133,0.3007518796992481,1.1407034209564832
AMD,month,8,133,0.3458646616541353,1.3118089340999557
AMD,month,9,128,0.296875,1.1259990409207161
AMD,month,10,133,0.2631578947368421,0.9981154933369228
AMD,month,11,122,0.30327868852459017,1.1502871996981259
AMD,month,12,134,0.26119402985074625,0.9906668702523189
AMD,dow,0,1,0.0,0.0
AMD,dow,1,284,0.2711267605633803,1.0283401174309286
AMD,dow,2,297,0.23232323232323232,0.88116458704694
AMD,dow,3,300,0.26666666666666666,1.0114236999147486
AMD,dow,4,300,0.28,1.061994884910486
AMD,dow,5,294,0.2653061224489796,1.0062633749151837
AMD,dow,6,7,0.42857142857142855,1.6255023748629887
KZT,month,1,93,0.21505376344086022,0.8162142837499656
KZT,month,2,117,0.19658119658119658,0.7461035696329813
KZT,month,3,126,0.23015873015873015,0.8735436203466893
KZT,month,4,130,0.2076923076923077,0.7882746409600629
KZT,month,5,114,0.34210526315789475,1.2984250908601427
KZT,month,6,121,0.2231404958677686,0.8469066390480015
KZT,month,7,133,0.3007518796992481,1.1414726073495758
KZT,month,8,133,0.3082706766917293,1.1700094225333153
KZT,month,9,128,0.2734375,1.0378037084398977
KZT,month,10,133,0.2706766917293233,1.0273253466146184
KZT,month,11,122,0.3524590163934426,1.337721688818079
KZT,month,12,134,0.23134328358208955,0.8780394701683398
KZT,dow,0,1,0.0,0.0
KZT,dow,1,284,0.2605633802816901,0.9889413205576167
KZT,dow,2,297,0.24579124579124578,0.9328752142051374
KZT,dow,3,301,0.26245847176079734,0.9961339439719264
KZT,dow,4,300,0.2833333333333333,1.0753623188405796
KZT,dow,5,294,0.2619047619047619,0.9940323955669225
KZT,dow,6,7,0.42857142857142855,1.6265984654731456
