feature,spearman,abs_spearman
share_above_sma_20,0.10392587174195782,0.10392587174195782
cny_ret_20,-0.0973759319561919,0.0973759319561919
cny_raw_ret_20,0.0973759319561919,0.0973759319561919
bars_since_min_30,0.09423768365554563,0.09423768365554563
usd_ret_20,-0.09176450530287862,0.09176450530287862
usd_raw_ret_20,0.09176450530287862,0.09176450530287862
quarter_cos,-0.08944288866300036,0.08944288866300036
accel_5_20,0.0836140186027467,0.0836140186027467
calendar_week,0.08283868489397114,0.08283868489397114
raw_ret_30,0.0828083057965783,0.0828083057965783
ret_kurt_20,0.08121880826777558,0.08121880826777558
eur_ret_20,-0.08085254035365468,0.08085254035365468
eur_raw_ret_20,0.08085254035365468,0.08085254035365468
slope_z_20,0.07894954014941773,0.07894954014941773
raw_ret_15,0.07874425289370106,0.07874425289370106
slope_z_60,0.07653788375179611,0.07653788375179611
calendar_doy,0.07621484630077884,0.07621484630077884
calendar_month,0.07553638081710581,0.07553638081710581
rank_level_60,0.07517281969080362,0.07517281969080362
macd_5_20,0.07400172777463583,0.07400172777463583
days_beaten_90,-0.07366411166565258,0.07366411166565258
annual_sin_1,-0.0731903721711289,0.0731903721711289
ret_20,-0.07305607917223052,0.07305607917223052
macd_20_60,0.07280015535519511,0.07280015535519511
z_90,0.0710606235706332,0.0710606235706332
bars_since_max_30,-0.06943403203492328,0.06943403203492328
usd_pct_range_90,0.06828947110828192,0.06828947110828192
dist_max_30,-0.0682172524124742,0.0682172524124742
drawdown_30,-0.0682172524124742,0.0682172524124742
up_share_14,0.06815471971125098,0.06815471971125098
raw_ret_45,0.06739863362044911,0.06739863362044911
dist_max_90,-0.06534090015414827,0.06534090015414827
drawdown_90,-0.06534090015414827,0.06534090015414827
pre_new_year_14,-0.06529041306308107,0.06529041306308107
month_cos,-0.06451535801161672,0.06451535801161672
range_pos_60,0.0641028201243809,0.0641028201243809
vs_sma_60,-0.06401233161522255,0.06401233161522255
level_vs_mean_60,0.06401233161522255,0.06401233161522255
cny_raw_ret_10,0.06337325721694118,0.06337325721694118
post_new_year_7,0.06293182856182071,0.06293182856182071
ret_mad_250,-0.062204571466914264,0.062204571466914264
days_beaten_30,-0.06170382270808982,0.06170382270808982
cnyusd_ret_60,0.06136755845454268,0.06136755845454268
