h_calendar_days,rate_target,n,frequency,hit_rate,base_rate,lift,forward_benefit_bps,corridor_lift_min,corridor_freq_min,corridor_freq_max,decision_days
1,0.25,809,1.173678756476684,0.6847960444993819,0.6173780487804879,1.1092005066459123,14.392646483126866,1.0787372611809507,0.8196891191709844,1.58860103626943,publication_only
3,0.25,805,1.1715176715176716,0.5354037267080746,0.4448854961832061,1.2034641077343475,21.427979875984843,1.1756410256410257,0.814968814968815,1.5862785862785864,publication_only
5,0.25,801,1.1669094693028095,0.46192259675405745,0.3599388379204893,1.2833363563175597,29.860097428687048,1.2433717013494245,0.8085327783558793,1.5806451612903227,publication_only
10,0.25,787,1.153717277486911,0.38881829733163914,0.27415384615384614,1.4182485592904908,55.77419742602536,1.256201684550594,0.7916230366492147,1.5685863874345551,publication_only
20,0.25,776,1.148414376321353,0.3337628865979381,0.2052877138413686,1.6258298188066227,100.49363149815841,1.4259464596863614,0.799154334038055,1.5835095137420718,publication_only
