all,top80,top140
max_down_20,,
max_down_250,,
max_down_5,,
max_down_60,,
max_up_120,,
max_up_20,,
max_up_250,,
max_up_5,,
max_up_60,,
new_high_10,,
new_high_120,,
new_high_20,,
new_high_250,,
new_high_500,,
new_high_60,,
new_low_10,,
new_low_120,,
new_low_20,,
new_low_250,,
new_low_500,,
new_low_60,,
positive_share_120,,
positive_share_20,,
positive_share_250,,
positive_share_5,,
positive_share_60,,
post_new_year_7,,
pre_new_year_14,,
pre_new_year_7,,
pre_sep_first_14,,
pre_sep_first_7,,
quiet_regime,,
range_pos_10,,
range_pos_120,,
range_pos_20,,
range_pos_250,,
range_pos_500,,
range_pos_60,,
rank_level_10,,
rank_level_120,,
rank_level_20,,
rank_level_250,,
rank_level_500,,
rank_level_60,,
raw_ret1_lag_1,,
raw_ret1_lag_10,,
raw_ret1_lag_2,,
raw_ret1_lag_3,,
raw_ret1_lag_4,,
raw_ret1_lag_5,,
raw_ret1_lag_6,,
raw_ret1_lag_7,,
raw_ret1_lag_8,,
raw_ret1_lag_9,,
raw_ret_15,,
raw_ret_180,,
raw_ret_2,,
raw_ret_30,,
raw_ret_4,,
raw_ret_45,,
raw_ret_500,,
raw_ret_7,,
raw_ret_90,,
raw_vol_120,,
raw_vol_20,,
raw_vol_250,,
raw_vol_5,,
raw_vol_60,,
ret_ac1_120,,
ret_ac1_20,,
ret_ac1_250,,
ret_ac1_5,,
ret_ac1_60,,
ret_ac5_120,,
ret_ac5_20,,
ret_ac5_250,,
ret_ac5_5,,
ret_ac5_60,,
ret_kurt_120,,
ret_kurt_20,,
ret_kurt_250,,
ret_kurt_5,,
ret_kurt_60,,
ret_mad_120,,
ret_mad_20,,
ret_mad_250,,
ret_mad_5,,
ret_mad_60,,
ret_median_120,,
ret_median_20,,
ret_median_250,,
ret_median_5,,
ret_median_60,,
slope_z_10,,
slope_z_120,,
slope_z_20,,
slope_z_250,,
slope_z_500,,
slope_z_60,,
summer,,
usd_raw_ret_1,,
usd_raw_ret_10,,
usd_raw_ret_120,,
usd_raw_ret_2,,
usd_raw_ret_20,,
usd_raw_ret_5,,
usd_raw_ret_60,,
vol_ratio_20_120,,
vol_ratio_5_60,,
year_end,,
