indicator,target,corridor,h,n_scope,n_signals,hit_rate,base_rate,lift,signals_per_week,weekly_max,calendar_gap_max_days,symmetric_bps,future_only_bps,decision_clock,reference,evaluation_period
ТЗ: моментум (падение 3 дн),window_closing,TJS,1,657,92,0.4782608695652174,0.5251141552511416,0.9107750472589792,0.6822033898305084,5,128,21.520886660758773,-15.179270645067946,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: моментум (падение 3 дн),window_closing,UZS,1,657,97,0.4639175257731959,0.5190258751902588,0.8938235027360402,0.7192796610169492,5,68,26.0342651343573,-4.594455139694564,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: моментум (падение 3 дн),window_closing,KGS,1,657,108,0.46296296296296297,0.4961948249619482,0.9330265848670757,0.8008474576271186,5,90,24.139286237071037,-6.528495464558639,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: моментум (падение 3 дн),window_closing,AMD,1,657,90,0.5,0.5251141552511416,0.9521739130434782,0.6673728813559322,4,65,26.05476040061121,-5.935232392984078,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: моментум (падение 3 дн),window_closing,KZT,1,657,83,0.5180722891566265,0.5144596651445966,1.007022171526342,0.6154661016949152,5,52,28.948056473782465,4.784137244374936,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: уровень (нижний дециль),now_favourable,TJS,1,656,105,0.5047619047619047,0.5259146341463414,0.9597791580400277,0.7794273594909862,5,236,12.40605246571882,-7.66990085547715,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: уровень (нижний дециль),now_favourable,UZS,1,656,140,0.5071428571428571,0.5213414634146342,0.9727652464494569,1.039236479321315,5,237,10.496669768456886,-9.550862258236462,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: уровень (нижний дециль),now_favourable,KGS,1,656,165,0.42424242424242425,0.4954268292682927,0.8563170163170164,1.2248144220572639,5,232,7.628067610219472,-9.138436431772732,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: уровень (нижний дециль),now_favourable,AMD,1,656,154,0.4935064935064935,0.524390243902439,0.9411054062216853,1.1431601272534464,5,237,8.070716678717234,-6.985685968886768,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
ТЗ: уровень (нижний дециль),now_favourable,KZT,1,656,161,0.4968944099378882,0.5137195121951219,0.9672484656357706,1.1951219512195121,5,204,13.886517248705633,-2.5423054451238993,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
