candidate,n,lift,lift_ci_low,lift_ci_high,p_lift_le_1,benefit_ci_low,benefit_ci_high,period
benefit_ranker_anchor2580_shared_extra_geomean,296,1.2638710791083054,0.9835259603419224,1.7410191163901492,0.03499125218695326,-53.83460042026246,58.06997574472145,2025
benefit_ranker_anchor2580_shared_extra_minimum,302,1.2835355537293953,1.0116157153835703,1.741988185254666,0.020994751312171957,-53.12946444069191,59.47940343454586,2025
benefit_ranker_anchor2580_shared_xgb_conservative,319,1.186875042903233,0.896889830136947,1.6277406756586947,0.11697075731067233,-64.60818076575187,42.14873131383436,2025
benefit_ranker_anchor2575_shared_xgb_conservative,321,1.1092730290833845,0.8303808973201836,1.5136572403804525,0.2461884528867783,-68.87401283401176,27.4614541122304,2025
benefit_ranker_anchor2575_shared_extra_minimum,308,1.2146293487534363,0.9518503796743868,1.641998104904355,0.05723569107723069,-55.47972399394823,50.2045626628685,2025
benefit_ranker_anchor2580_shared_extra_conservative,296,1.2790984415072006,0.9965368304986505,1.7581073546456278,0.02749312671832042,-53.17089711387381,59.52053156706862,2025
benefit_ranker_anchor2575_shared_extra_conservative,301,1.212927710551204,0.9495265372301548,1.661917503568522,0.06223444138965259,-56.23671682595443,51.15916129938396,2025
stack25_benefit7580_shared_extra_minimum,286,1.3711015262110153,1.06201493259238,1.7629195032225111,0.009247688077980504,-47.7125878303822,62.650965770626094,2025
benefit_ranker_anchor2580_shared_extra_geomean,492,1.2597869047082337,0.9363389064636092,1.6647999467507306,0.05573606598350413,-32.22417336251788,74.36823951479302,2025_2026
benefit_ranker_anchor2580_shared_extra_minimum,498,1.2671016784327698,0.9489677604867949,1.6644658929795668,0.04973756560859785,-32.35048153882403,74.25940651606801,2025_2026
benefit_ranker_anchor2580_shared_xgb_conservative,511,1.2348662149892746,0.919018582911296,1.6196473566921026,0.06898275431142215,-39.70287088217432,68.88766864383481,2025_2026
benefit_ranker_anchor2575_shared_xgb_conservative,508,1.1907083703261676,0.8788335914734564,1.5748154057241124,0.11972006998250437,-44.25761459721779,63.691253050543146,2025_2026
benefit_ranker_anchor2575_shared_extra_minimum,510,1.2153238374832374,0.8927447551769278,1.606061620231689,0.09047738065483629,-35.235448463950746,71.24850439890078,2025_2026
benefit_ranker_anchor2580_shared_extra_conservative,492,1.26737598244744,0.9450413984634551,1.6706708166864717,0.053486628342914275,-32.10275752427729,75.12074366784277,2025_2026
benefit_ranker_anchor2575_shared_extra_conservative,502,1.2198157462571155,0.8923411291795845,1.6159639425054684,0.0902274431392152,-36.088125644699055,71.26505043657178,2025_2026
stack25_benefit7580_shared_extra_minimum,496,1.3474897143879314,0.9932619449673548,1.7386534092468466,0.02649337665583604,-25.450008151931854,81.3229400369004,2025_2026
