period,policy,observed_lift,circular_shift_p_unadjusted,circular_shift_p_max_adjusted,n_recorded_policies,observed_max_lift,null_max_lift_q95
retrospective_2025,benefit_ranker_anchor2580_shared_extra_geomean,1.2638710791083054,0.14296425893526618,0.16920769807548114,8,1.3711015262110153,1.4553348740361074
retrospective_2025,benefit_ranker_anchor2580_shared_extra_minimum,1.2835355537293953,0.12896775806048488,0.16445888527868033,8,1.3711015262110153,1.4553348740361074
retrospective_2025,benefit_ranker_anchor2580_shared_xgb_conservative,1.186875042903233,0.22369407648087977,0.269182704323919,8,1.3711015262110153,1.4553348740361074
retrospective_2025,benefit_ranker_anchor2575_shared_xgb_conservative,1.1092730290833845,0.3176705823544114,0.37690577355661087,8,1.3711015262110153,1.4553348740361074
retrospective_2025,benefit_ranker_anchor2575_shared_extra_minimum,1.2146293487534363,0.18745313671582103,0.24068982754311422,8,1.3711015262110153,1.4553348740361074
retrospective_2025,benefit_ranker_anchor2580_shared_extra_conservative,1.2790984415072006,0.1284678830292427,0.16445888527868033,8,1.3711015262110153,1.4553348740361074
retrospective_2025,benefit_ranker_anchor2575_shared_extra_conservative,1.212927710551204,0.19245188702824295,0.24068982754311422,8,1.3711015262110153,1.4553348740361074
retrospective_2025,stack25_benefit7580_shared_extra_minimum,1.3711015262110153,0.06998250437390652,0.10172456885778555,8,1.3711015262110153,1.4553348740361074
retrospective_2025_2026,benefit_ranker_anchor2580_shared_extra_geomean,1.2597869047082337,0.09647588102974257,0.11572106973256686,8,1.3474897143879314,1.3597595587058087
retrospective_2025_2026,benefit_ranker_anchor2580_shared_extra_minimum,1.2671016784327698,0.08797800549862535,0.10847288177955511,8,1.3474897143879314,1.3597595587058087
retrospective_2025_2026,benefit_ranker_anchor2580_shared_xgb_conservative,1.2348662149892746,0.09997500624843789,0.14546363409147714,8,1.3474897143879314,1.3597595587058087
retrospective_2025_2026,benefit_ranker_anchor2575_shared_xgb_conservative,1.1907083703261676,0.18795301174706325,0.21869532616845788,8,1.3474897143879314,1.3597595587058087
retrospective_2025_2026,benefit_ranker_anchor2575_shared_extra_minimum,1.2153238374832374,0.12446888277930518,0.184703824043989,8,1.3474897143879314,1.3597595587058087
retrospective_2025_2026,benefit_ranker_anchor2580_shared_extra_conservative,1.26737598244744,0.08447888027993002,0.10847288177955511,8,1.3474897143879314,1.3597595587058087
retrospective_2025_2026,benefit_ranker_anchor2575_shared_extra_conservative,1.2198157462571155,0.1329667583104224,0.18245438640339914,8,1.3474897143879314,1.3597595587058087
retrospective_2025_2026,stack25_benefit7580_shared_extra_minimum,1.3474897143879314,0.043989002749312674,0.06248437890527368,8,1.3474897143879314,1.3597595587058087
