rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,period,candidate,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap,robustness,screen_rank
0.22,301,1.1903954802259888,60,0,0.45182724252491696,0.3379032258064516,1.3371498346799453,0.6003462219366917,67.83682931199529,1.3371498346799453,1.3371498346799453,1,1,1.1271186440677967,1.265536723163842,1.260542168674699,0.8952702702702703,1.3371498346799453,1.1903954802259888,1.1903954802259888,0.7393258426966293,1.9886363636363638,4,screen_2024,benefit_ranker_anchor2580_shared_extra_minimum,rolling,0.22,60,0,0,0.0,0.0,0,0,1.260542168674699,2
0.22,302,1.1909859154929576,60,0,0.2847682119205298,0.22186234817813766,1.2835355537293953,0.5914288643976392,-7.9874095457601,1.2835355537293953,1.2835355537293953,1,1,1.143661971830986,1.2422535211267605,1.026552759178019,0.8619528619528619,1.2835355537293953,1.1909859154929576,1.1909859154929576,0.4153846153846154,2.6384615384615384,4,retrospective_2025,benefit_ranker_anchor2580_shared_extra_minimum,rolling,0.22,60,0,0,0.0,0.0,0,0,1.026552759178019,2
0.22,196,1.2195555555555555,60,0,0.42346938775510207,0.3401273885350318,1.24503172055339,0.5345212789033014,56.66030718331295,1.24503172055339,1.24503172055339,1,1,0.9644444444444443,1.3377777777777777,1.1487804878048782,0.9162303664921466,1.24503172055339,1.2195555555555555,1.2195555555555555,0.2644444444444444,2.090909090909091,3,retrospective_2026,benefit_ranker_anchor2580_shared_extra_minimum,rolling,0.22,60,0,0,0.0,0.0,0,0,1.1487804878048782,2
0.22,498,1.175716694772344,60,0,0.3393574297188755,0.26782178217821784,1.2671016784327698,0.5846990335429219,17.456270130742546,1.24503172055339,1.2642836371413928,2,2,1.0860033726812817,1.2040472175379429,1.0802139037433156,0.8742393509127789,1.2642836371413928,1.1909859154929576,1.2195555555555555,0.2644444444444444,2.6384615384615384,7,combined_2025_2026,benefit_ranker_anchor2580_shared_extra_minimum,rolling,0.22,60,0,0,0.0,0.0,0,0,1.0802139037433156,2
0.22,293,1.1587570621468928,60,0,0.45733788395904434,0.3379032258064516,1.353458176871635,0.5998040691978757,70.52474139321463,1.353458176871635,1.353458176871635,1,1,1.0875706214689267,1.2457627118644068,1.2331229680627271,0.8888888888888888,1.353458176871635,1.1587570621468928,1.1587570621468928,0.63,1.9886363636363638,4,screen_2024,benefit_ranker_anchor2575_shared_extra_minimum,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2331229680627271,5
0.22,308,1.2146478873239437,60,0,0.2694805194805195,0.22186234817813766,1.2146293487534363,0.5932802661461221,-13.04209554393597,1.2146293487534363,1.2146293487534363,1,1,1.1042253521126761,1.2816901408450705,0.9880000000000001,0.8778877887788779,1.2146293487534363,1.2146478873239437,1.2146478873239437,0.43076923076923074,2.7461538461538466,4,retrospective_2025,benefit_ranker_anchor2575_shared_extra_minimum,rolling,0.22,60,0,0,0.0,0.0,0,0,0.9880000000000001,5
0.22,202,1.2568888888888887,60,0,0.41089108910891087,0.3401273885350318,1.2080505803389328,0.5339247754978091,55.79185052686716,1.2080505803389328,1.2080505803389328,1,1,1.0266666666666666,1.3377777777777777,1.0953488372093023,0.9187817258883249,1.2080505803389328,1.2568888888888887,1.2568888888888887,0.2644444444444444,2.1999999999999997,3,retrospective_2026,benefit_ranker_anchor2575_shared_extra_minimum,rolling,0.22,60,0,0,0.0,0.0,0,0,1.0953488372093023,5
0.22,510,1.2040472175379429,60,0,0.3254901960784314,0.26782178217821784,1.2153238374832374,0.5847327776798782,14.221545840970363,1.2080505803389328,1.2113399645461844,2,2,1.12141652613828,1.2748735244519394,1.0687830687830688,0.8851485148514852,1.2113399645461844,1.2146478873239437,1.2568888888888887,0.2644444444444444,2.7461538461538466,7,combined_2025_2026,benefit_ranker_anchor2575_shared_extra_minimum,rolling,0.22,60,0,0,0.0,0.0,0,0,1.0687830687830688,5
0.22,299,1.1824858757062147,60,0,0.45819397993311034,0.3379032258064516,1.3559917305896345,0.6006979671452533,68.67129988266058,1.3559917305896345,1.3559917305896345,1,1,1.1271186440677967,1.265536723163842,1.260542168674699,0.8945578231292517,1.3559917305896345,1.1824858757062147,1.1824858757062147,0.7525,1.9727272727272729,4,screen_2024,benefit_ranker_anchor2580_shared_extra_geomean,rolling,0.22,60,0,0,0.0,0.0,0,0,1.260542168674699,1
0.22,296,1.1673239436619718,60,0,0.28040540540540543,0.22186234817813766,1.2638710791083054,0.5909199662760051,-8.629114646131768,1.2638710791083054,1.2638710791083054,1,1,1.1042253521126761,1.2028169014084507,1.0436619718309859,0.8591065292096219,1.2638710791083054,1.1673239436619718,1.1673239436619718,0.4,2.566666666666667,4,retrospective_2025,benefit_ranker_anchor2580_shared_extra_geomean,rolling,0.22,60,0,0,0.0,0.0,0,0,1.0436619718309859,1
0.22,196,1.2195555555555555,60,0,0.42346938775510207,0.3401273885350318,1.24503172055339,0.5344417451159024,56.66030718331295,1.24503172055339,1.24503172055339,1,1,0.9644444444444443,1.3377777777777777,1.1487804878048782,0.9162303664921466,1.24503172055339,1.2195555555555555,1.2195555555555555,0.2644444444444444,2.090909090909091,3,retrospective_2026,benefit_ranker_anchor2580_shared_extra_geomean,rolling,0.22,60,0,0,0.0,0.0,0,0,1.1487804878048782,1
