n,frequency,hit_rate,base_rate,lift,auc,forward_benefit_bps,macro_year_lift,year_lift_min,year_frequency_min,year_frequency_max,corridor_lift_min,corridor_freq_min,corridor_freq_max,quarter_frequency_min,quarter_frequency_max,cluster_share_7d,candidate,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap,robustness,clears_1p30_gate,rate_target,rolling_window,cooldown_days,year_lift_median,year_lift_positive,years,quarters
250,0.9859154929577465,0.276,0.22186234817813766,1.244014598540146,0.47180362608900406,-21.70573231940004,1.244014598540146,1.244014598540146,0.9859154929577465,0.9859154929577465,1.1856,0.9859154929577465,0.9859154929577465,0.875,1.0769230769230769,0.8040816326530612,resolved_tree_consensus,weekly,0.0,0,0,20,0.9,0.0,4,1,1.1856,False,,,,,,,
313,1.2343661971830986,0.25559105431309903,0.22186234817813766,1.152025372542618,0.5027761531859302,-32.538686824765165,1.152025372542618,1.152025372542618,1.2343661971830986,1.2343661971830986,1.1016431924882628,1.1830985915492958,1.2816901408450705,1.0461538461538462,1.4923076923076921,0.7435064935064936,round5_reset_hist,weekly,0.0,0,0,20,0.75,0.3,4,2,1.1016431924882628,False,,,,,,,
385,1.5183098591549296,0.2545454545454545,0.22186234817813766,1.1473125414731253,0.5009874142658575,-13.999955418040724,1.1473125414731253,1.1473125414731253,1.5183098591549296,1.5183098591549296,1.0455026455026455,1.380281690140845,1.5774647887323943,0.30227272727272725,2.4923076923076923,0.9,resolved_cat_full,rolling,0.35,120,0,0,0.0,0.0,0,0,1.0455026455026455,False,0.35,120.0,0.0,1.1473125414731253,1.0,1.0,4.0
553,2.180845070422535,0.25316455696202533,0.22186234817813766,1.1410884228032894,0.5024685356646437,-21.823884875631034,1.1410884228032894,1.1410884228032894,2.180845070422535,2.180845070422535,0.9804097311139565,2.0901408450704224,2.287323943661972,0.525,3.7384615384615385,0.9470802919708029,resolved_xgb_full,rolling,0.35,60,0,0,0.0,0.0,0,0,0.9804097311139565,False,0.35,60.0,0.0,1.1410884228032894,1.0,1.0,4.0
499,1.9678873239436618,0.24448897795591182,0.22186234817813766,1.1019849918815734,0.48517739277060845,-30.394074699184284,1.1019849918815734,1.1019849918815734,1.9678873239436618,1.9678873239436618,0.9784330985915494,1.8140845070422535,2.129577464788732,0.5090909090909091,4.015384615384615,0.9311740890688259,resolved_diverse_anchor,rolling,0.3,60,0,0,0.0,0.0,0,0,0.9784330985915494,False,0.3,60.0,0.0,1.1019849918815734,1.0,1.0,4.0
321,1.2659154929577465,0.24922118380062305,0.22186234817813766,1.1233144598312754,0.4720447830347038,-19.718089738865565,1.1233144598312754,1.1233144598312754,1.2659154929577465,1.2659154929577465,0.9291087962962963,1.1830985915492958,1.380281690140845,1.0153846153846153,1.4923076923076921,0.7848101265822784,resolved_extra_full,weekly,0.0,0,0,20,0.9,0.3,4,2,0.9291087962962963,False,,,,,,,
481,1.8969014084507043,0.21621621621621623,0.22186234817813766,0.9745511935292958,0.5002411569456998,-33.74511171900111,0.9745511935292958,0.9745511935292958,1.8969014084507043,1.8969014084507043,0.9099999999999999,1.656338028169014,2.247887323943662,0.8909090909090909,3.8615384615384616,0.9243697478991597,resolved_hist_full_anchor50,rolling,0.35,40,0,0,0.0,0.0,0,0,0.9099999999999999,False,0.35,40.0,0.0,0.9745511935292958,0.0,1.0,4.0
464,1.8298591549295773,0.23706896551724138,0.22186234817813766,1.0685407752328215,0.4943717386846122,-31.5668723206902,1.0685407752328215,1.0685407752328215,1.8298591549295773,1.8298591549295773,0.9092509603072984,1.7352112676056337,2.0309859154929577,0.525,3.0461538461538464,0.9172113289760349,resolved_boost_consensus,rolling,0.3,60,0,0,0.0,0.0,0,0,0.9092509603072984,False,0.3,60.0,0.0,1.0685407752328215,1.0,1.0,4.0
447,1.7628169014084507,0.22818791946308725,0.22186234817813766,1.028511242835448,0.49208169713725824,-28.933833646802704,1.028511242835448,1.028511242835448,1.7628169014084507,1.7628169014084507,0.869718309859155,1.656338028169014,1.8929577464788732,0.38181818181818183,3.076923076923077,0.9253393665158371,resolved_hist_old_hist,rolling,0.3,60,0,0,0.0,0.0,0,0,0.869718309859155,False,0.3,60.0,0.0,1.028511242835448,1.0,1.0,4.0
488,1.9245070422535209,0.21721311475409835,0.22186234817813766,0.9790445135814286,0.48226831843350526,-31.35937066552753,0.9790445135814286,0.9790445135814286,1.9245070422535209,1.9245070422535209,0.8603665000757232,1.7746478873239435,2.169014084507042,0.44545454545454544,3.292307692307692,0.917184265010352,resolved_hist_full,rolling,0.35,60,0,0,0.0,0.0,0,0,0.8603665000757232,False,0.35,60.0,0.0,0.9790445135814286,0.0,1.0,4.0
462,1.8219718309859156,0.20995670995670995,0.22186234817813766,0.9463377255348058,0.4911531479526345,-38.79931752503523,0.9463377255348058,0.9463377255348058,1.8219718309859156,1.8219718309859156,0.8301856594110116,1.7154929577464788,1.952112676056338,0.38181818181818183,3.6153846153846154,0.9387308533916849,resolved_hist_full_anchor25,rolling,0.3,60,0,0,0.0,0.0,0,0,0.8301856594110116,False,0.3,60.0,0.0,0.9463377255348058,0.0,1.0,4.0
298,1.1752112676056339,0.21476510067114093,0.22186234817813766,0.9680105814921863,0.5162011894544157,-14.799247776352585,0.9680105814921863,0.9680105814921863,1.1752112676056339,1.1752112676056339,0.8110447761194031,1.084507042253521,1.3211267605633803,0.6461538461538462,1.6,0.8020477815699659,anchor_multiscale_locked,weekly,0.0,0,0,40,0.75,0.3,3,2,0.8110447761194031,False,,,,,,,
321,1.2659154929577465,0.2087227414330218,0.22186234817813766,0.9407758601086932,0.5735699583007361,-4.317264207715981,0.9407758601086932,0.9407758601086932,1.2659154929577465,1.2659154929577465,0.7876275510204082,1.1830985915492958,1.36056338028169,0.6820512820512821,1.5230769230769232,0.8386075949367089,resolved_logit_compact,weekly,0.0,0,0,60,0.75,0.5,4,2,0.7876275510204082,False,,,,,,,
409,1.6129577464788731,0.20048899755501223,0.22186234817813766,0.9036639123373726,0.49999620225282365,-42.06046804146549,0.9036639123373726,0.9036639123373726,1.6129577464788731,1.6129577464788731,0.7680629229925005,1.5183098591549296,1.7943661971830986,0.3659090909090909,3.4000000000000004,0.9232673267326733,resolved_hist_old_anchor,rolling,0.25,60,0,0,0.0,0.0,0,0,0.7680629229925005,False,0.25,60.0,0.0,0.9036639123373726,0.0,1.0,4.0
