scenario,metric,block_dates,mean_delta,ci_low,ci_high
calendar_assumed_replay,brier,20,-0.00384753069364888,-0.0057368021514503965,-0.0023343961090985773
calendar_assumed_replay,logloss,20,-0.013814265688501984,-0.021004622127452924,-0.008383784792188338
calendar_assumed_replay,auc,20,0.08875594689109384,0.05814410492309896,0.12358770138990945
calendar_assumed_replay,brier,50,-0.003931784863239245,-0.006136961066532537,-0.0021155842081853277
calendar_assumed_replay,logloss,50,-0.014097106516605458,-0.022434444546915216,-0.007779601111258343
calendar_assumed_replay,auc,50,0.08916895028669586,0.05848998491165586,0.12190688339956743
no_same_day_receipt,brier,20,-0.0022751516517991845,-0.0039188876892120045,-0.000923544602355736
no_same_day_receipt,logloss,20,-0.008127023690168671,-0.014328406004271014,-0.0032917695994485693
no_same_day_receipt,auc,20,0.05224565818709005,0.02308240747182167,0.08809693907669543
no_same_day_receipt,brier,50,-0.002277410808694598,-0.00419157365644277,-0.0006909992674414249
no_same_day_receipt,logloss,50,-0.008127929282678168,-0.014916530402535457,-0.002420765946243502
no_same_day_receipt,auc,50,0.051498521015646295,0.01792792826380235,0.08490143219055654
