candidate,currency,quarter,n_train,first_train,last_resolved,n_raw_features
local_all_spline_gam,TJS,2025-01-01,705,2022-02-25,2024-12-29,19
local_all_spline_gam,UZS,2025-01-01,705,2022-02-25,2024-12-29,19
local_all_spline_gam,AMD,2025-04-01,762,2022-02-25,2025-03-29,19
local_all_spline_gam,KGS,2025-04-01,762,2022-02-25,2025-03-29,19
local_all_spline_gam,KZT,2025-04-01,762,2022-02-25,2025-03-29,19
local_all_spline_gam,TJS,2025-04-01,762,2022-02-25,2025-03-29,19
local_all_spline_gam,UZS,2025-04-01,762,2022-02-25,2025-03-29,19
local_all_spline_gam,AMD,2025-07-01,821,2022-02-25,2025-06-28,19
local_all_spline_gam,KGS,2025-07-01,821,2022-02-25,2025-06-28,19
local_all_spline_gam,KZT,2025-07-01,821,2022-02-25,2025-06-28,19
local_all_spline_gam,TJS,2025-07-01,821,2022-02-25,2025-06-28,19
local_all_spline_gam,UZS,2025-07-01,821,2022-02-25,2025-06-28,19
local_all_spline_gam,AMD,2025-10-01,887,2022-02-25,2025-09-30,19
local_all_spline_gam,KGS,2025-10-01,887,2022-02-25,2025-09-30,19
local_all_spline_gam,KZT,2025-10-01,887,2022-02-25,2025-09-30,19
local_all_spline_gam,TJS,2025-10-01,887,2022-02-25,2025-09-30,19
local_all_spline_gam,UZS,2025-10-01,887,2022-02-25,2025-09-30,19
local_all_spline_gam,AMD,2026-01-01,952,2022-02-25,2025-12-31,19
local_all_spline_gam,KGS,2026-01-01,952,2022-02-25,2025-12-31,19
local_all_spline_gam,KZT,2026-01-01,952,2022-02-25,2025-12-31,19
local_all_spline_gam,TJS,2026-01-01,952,2022-02-25,2025-12-31,19
local_all_spline_gam,UZS,2026-01-01,952,2022-02-25,2025-12-31,19
local_all_spline_gam,AMD,2026-04-01,1006,2022-02-25,2026-03-31,19
local_all_spline_gam,KGS,2026-04-01,1006,2022-02-25,2026-03-31,19
local_all_spline_gam,KZT,2026-04-01,1006,2022-02-25,2026-03-31,19
local_all_spline_gam,TJS,2026-04-01,1006,2022-02-25,2026-03-31,19
local_all_spline_gam,UZS,2026-04-01,1006,2022-02-25,2026-03-31,19
local_all_spline_gam,AMD,2026-07-01,1068,2022-02-25,2026-06-30,19
local_all_spline_gam,KGS,2026-07-01,1068,2022-02-25,2026-06-30,19
local_all_spline_gam,KZT,2026-07-01,1068,2022-02-25,2026-06-30,19
local_all_spline_gam,TJS,2026-07-01,1068,2022-02-25,2026-06-30,19
local_all_spline_gam,UZS,2026-07-01,1068,2022-02-25,2026-06-30,19
