stage,pooled_pass,local_pass,pass,local_groups,local_noninferior,brier_delta,logloss_delta,ece_delta,auc_delta,worst_brier_ci_high,worst_auc_ci_low
screen_2019_2022,False,False,False,9,0,0.002031818963223256,0.009353298108266184,0.016718173028688783,0.038949140047984665,0.0038155481874348456,-0.08326335915838394
validation_2023_2024,False,False,False,7,5,-0.001434459990647785,-0.005823790152646224,-0.0004772160384219071,0.0982030467778604,0.0043111156445766454,-0.011753874773617034
