stage,slice,group,n,positive_rate,mean_prediction,brier,logloss,ece,baseline_brier,baseline_logloss,baseline_ece,brier_delta,logloss_delta,auc,average_precision,auc_delta,ece_delta,noninferior
screen_2019_2022,pooled,all,4920,0.1315040650406504,0.12825544543559544,0.11642544171105329,0.3994071977152603,0.020022698082553143,0.11439362274783003,0.3900538996069941,0.00330452505386436,0.002031818963223256,0.009353298108266184,0.39944318066316986,0.10330309510080787,0.038949140047984665,0.016718173028688783,False
screen_2019_2022,year,2019,1230,0.07317073170731707,0.13507392324504153,0.07241345460033986,0.2839410086645904,0.06190319153772446,0.07092770729139025,0.2778256575837146,0.05503827159447976,0.0014857473089496115,0.006115351080875797,0.41356725146198836,0.06551556392431311,0.019634502923976616,0.006864919943244702,False
screen_2019_2022,year,2020,1215,0.1720164609053498,0.10008226750724646,0.14766790363058385,0.48364495393243817,0.07193419339810336,0.14475810791816227,0.4687907948033293,0.0429585572889194,0.0029097957124215867,0.014854159129108868,0.49793107384401725,0.16183323189988016,0.2224690136691811,0.028975636109183966,False
screen_2019_2022,year,2021,1240,0.11612903225806452,0.15343068189784576,0.10439721135693864,0.36629052984573623,0.037301649639781234,0.1028904352038686,0.3602670390844582,0.011595038531551236,0.0015067761530700302,0.006023490761278061,0.36064857055961075,0.08732700133234139,0.011037611516626078,0.02570661110823,False
screen_2019_2022,year,2022,1235,0.1651821862348178,0.12390434443489493,0.14159965916291564,0.4647830737368495,0.04127784179992288,0.1393605693745341,0.4542734276013515,0.037359140080412245,0.002239089788381554,0.01050964613549804,0.3697438238146859,0.12415423105095008,-0.04390131416291054,0.003918701719510635,False
screen_2019_2022,currency,AMD,984,0.14735772357723578,0.12767153023918199,0.12857782793061007,0.43169468317579973,0.019686193338053774,0.1261753769716525,0.42041326616407604,0.019158183590449712,0.0024024509589575804,0.011281417011723693,0.3871850725412026,0.11351392950917642,0.008651514528790427,0.0005280097476040614,False
screen_2019_2022,currency,KGS,984,0.125,0.12830691922452755,0.11054991226031377,0.3819694944643523,0.016066721792698288,0.10956849054864101,0.3776361999833093,0.0031995399867860708,0.0009814217116727586,0.004333294481043026,0.4517907896849003,0.10871924679257033,0.11433103878077105,0.012867181805912217,False
screen_2019_2022,currency,KZT,984,0.12398373983739837,0.1284916500981678,0.11052536024109225,0.3835842780674995,0.024682452599752543,0.10877804040873719,0.3755331924599122,0.004215800149387702,0.001747319832355057,0.008051085607587327,0.41313567380472405,0.11123886003106957,0.042043855311703626,0.02046665245036484,False
screen_2019_2022,currency,TJS,984,0.14126016260162602,0.1283612170767521,0.12415566667242428,0.4203602400786774,0.012898945524873917,0.12165978446023203,0.4088076960585424,0.01306062261483995,0.0024958822121922547,0.011552544020135003,0.38126942233195693,0.10788600678032978,0.017334298241879875,-0.00016167708996603358,False
screen_2019_2022,currency,UZS,984,0.11991869918699187,0.12844591053934773,0.10831844145082609,0.37942729278997256,0.04001672199551344,0.1057864213498875,0.36787914336913075,0.0082808407997942,0.0025320201009385868,0.011548149420841813,0.36780248170039537,0.08931082954425121,0.020540572278545444,0.03173588119571924,False
validation_2023_2024,pooled,all,2475,0.21696969696969698,0.17657308969386792,0.1751500030553073,0.5421032859987505,0.07694650041015846,0.1765844630459551,0.5479270761513967,0.07742371644858037,-0.001434459990647785,-0.005823790152646224,0.4168213693396598,0.1835438773097261,0.0982030467778604,-0.0004772160384219071,True
validation_2023_2024,year,2023,1235,0.24534412955465587,0.15280777833511838,0.19575465499950803,0.5952618540068825,0.09253635121953749,0.19771670665759863,0.6024169935439112,0.10753684225139046,-0.0019620516580906022,-0.007155139537028732,0.44688487089052253,0.2223951162443849,0.15607692743523283,-0.01500049103185297,True
validation_2023_2024,year,2024,1240,0.18870967741935485,0.20024257318423538,0.15462843438507518,0.4891590670551673,0.061555895693117854,0.15553743009403595,0.49365687616772275,0.047432014540136486,-0.0009089957089607748,-0.004497809112555429,0.3908599683947596,0.16237500153791506,0.017578290938131902,0.014123881152981368,False
validation_2023_2024,currency,AMD,495,0.25252525252525254,0.17587301296763058,0.19862908887387726,0.5987631711278316,0.11685526169515112,0.20237665487994397,0.6132910652224173,0.11297927200413593,-0.0037475660060667104,-0.014527894094585658,0.4047567567567568,0.2065359337313332,0.09898378378378381,0.003875989691015186,True
validation_2023_2024,currency,KGS,495,0.23434343434343435,0.17738243446930016,0.18494262174329143,0.5632877691140309,0.07764878279458899,0.18900404355351355,0.579084298297703,0.09479745382231775,-0.004061421810222121,-0.015796529183672137,0.4484123373669366,0.21117679116453753,0.11534437266854697,-0.017148671027728754,True
validation_2023_2024,currency,KZT,495,0.18787878787878787,0.1731032373195989,0.1578801300338228,0.5032182506591948,0.07197647427194355,0.15568768961856969,0.4953181749382161,0.04833280735767126,0.0021924404152531274,0.007900075720978672,0.37167656341946176,0.14276877481724165,0.09494195688225537,0.02364366691427229,False
validation_2023_2024,currency,TJS,495,0.2080808080808081,0.1782574601521068,0.16888202821069564,0.5262826014671542,0.07162131687605996,0.17001832480462165,0.5310802181348899,0.06853482755969148,-0.0011362965939260006,-0.004797616667735705,0.4253516940756885,0.1807930922842067,0.08361402813552604,0.0030864893163684848,True
validation_2023_2024,currency,UZS,495,0.20202020202020202,0.17824930356070307,0.16541614641484942,0.5189646376255408,0.0481657309854931,0.1658356023731267,0.5208616241637566,0.06247422149908541,-0.0004194559582772761,-0.0018969865382157947,0.4191392405063291,0.19251050545194953,0.08860759493670883,-0.014308490513592308,True
