candidate,quarter,n_train,n_groups,last_resolved,n_features
week_pair_fav_compact,2023-01-01,1050,220,2022-12-31,472
week_pair_fav_compact,2023-04-01,1330,280,2023-03-31,472
week_pair_fav_compact,2023-07-01,1635,345,2023-06-30,472
week_pair_fav_compact,2023-10-01,1965,410,2023-09-30,472
week_pair_fav_compact,2024-01-01,2285,475,2023-12-30,472
week_pair_fav_compact,2024-04-01,2570,535,2024-03-30,472
week_pair_fav_compact,2024-07-01,2870,600,2024-06-29,472
week_pair_fav_compact,2024-10-01,3195,665,2024-09-28,472
week_pair_fav_compact,2025-01-01,3525,735,2024-12-29,472
week_pair_fav_compact,2025-04-01,3810,790,2025-03-29,472
week_pair_fav_compact,2025-07-01,4105,855,2025-06-28,472
week_pair_fav_compact,2025-10-01,4435,925,2025-09-30,472
week_pair_fav_compact,2026-01-01,4760,990,2025-12-31,472
week_pair_fav_compact,2026-04-01,5030,1050,2026-03-31,472
week_pair_fav_compact,2026-07-01,5340,1115,2026-06-30,472
week_pair_ordinal_compact,2023-01-01,1050,220,2022-12-31,472
week_pair_ordinal_compact,2023-04-01,1330,280,2023-03-31,472
week_pair_ordinal_compact,2023-07-01,1635,345,2023-06-30,472
week_pair_ordinal_compact,2023-10-01,1965,410,2023-09-30,472
week_pair_ordinal_compact,2024-01-01,2285,475,2023-12-30,472
week_pair_ordinal_compact,2024-04-01,2570,535,2024-03-30,472
week_pair_ordinal_compact,2024-07-01,2870,600,2024-06-29,472
week_pair_ordinal_compact,2024-10-01,3195,665,2024-09-28,472
week_pair_ordinal_compact,2025-01-01,3525,735,2024-12-29,472
week_pair_ordinal_compact,2025-04-01,3810,790,2025-03-29,472
week_pair_ordinal_compact,2025-07-01,4105,855,2025-06-28,472
week_pair_ordinal_compact,2025-10-01,4435,925,2025-09-30,472
week_pair_ordinal_compact,2026-01-01,4760,990,2025-12-31,472
week_pair_ordinal_compact,2026-04-01,5030,1050,2026-03-31,472
week_pair_ordinal_compact,2026-07-01,5340,1115,2026-06-30,472
week_pair_benefit_compact,2023-01-01,1050,220,2022-12-31,472
week_pair_benefit_compact,2023-04-01,1330,280,2023-03-31,472
week_pair_benefit_compact,2023-07-01,1635,345,2023-06-30,472
week_pair_benefit_compact,2023-10-01,1965,410,2023-09-30,472
week_pair_benefit_compact,2024-01-01,2285,475,2023-12-30,472
week_pair_benefit_compact,2024-04-01,2570,535,2024-03-30,472
week_pair_benefit_compact,2024-07-01,2870,600,2024-06-29,472
week_pair_benefit_compact,2024-10-01,3195,665,2024-09-28,472
week_pair_benefit_compact,2025-01-01,3525,735,2024-12-29,472
week_pair_benefit_compact,2025-04-01,3810,790,2025-03-29,472
week_pair_benefit_compact,2025-07-01,4105,855,2025-06-28,472
week_pair_benefit_compact,2025-10-01,4435,925,2025-09-30,472
week_pair_benefit_compact,2026-01-01,4760,990,2025-12-31,472
week_pair_benefit_compact,2026-04-01,5030,1050,2026-03-31,472
week_pair_benefit_compact,2026-07-01,5340,1115,2026-06-30,472
week_pair_fav_benefit_full,2023-01-01,1050,220,2022-12-31,676
week_pair_fav_benefit_full,2023-04-01,1330,280,2023-03-31,676
week_pair_fav_benefit_full,2023-07-01,1635,345,2023-06-30,676
week_pair_fav_benefit_full,2023-10-01,1965,410,2023-09-30,676
week_pair_fav_benefit_full,2024-01-01,2285,475,2023-12-30,676
week_pair_fav_benefit_full,2024-04-01,2570,535,2024-03-30,676
week_pair_fav_benefit_full,2024-07-01,2870,600,2024-06-29,676
week_pair_fav_benefit_full,2024-10-01,3195,665,2024-09-28,676
week_pair_fav_benefit_full,2025-01-01,3525,735,2024-12-29,676
week_pair_fav_benefit_full,2025-04-01,3810,790,2025-03-29,676
week_pair_fav_benefit_full,2025-07-01,4105,855,2025-06-28,676
week_pair_fav_benefit_full,2025-10-01,4435,925,2025-09-30,676
week_pair_fav_benefit_full,2026-01-01,4760,990,2025-12-31,676
week_pair_fav_benefit_full,2026-04-01,5030,1050,2026-03-31,676
week_pair_fav_benefit_full,2026-07-01,5340,1115,2026-06-30,676
week_ndcg_fav_benefit_full,2023-01-01,1050,220,2022-12-31,676
week_ndcg_fav_benefit_full,2023-04-01,1330,280,2023-03-31,676
week_ndcg_fav_benefit_full,2023-07-01,1635,345,2023-06-30,676
week_ndcg_fav_benefit_full,2023-10-01,1965,410,2023-09-30,676
week_ndcg_fav_benefit_full,2024-01-01,2285,475,2023-12-30,676
week_ndcg_fav_benefit_full,2024-04-01,2570,535,2024-03-30,676
week_ndcg_fav_benefit_full,2024-07-01,2870,600,2024-06-29,676
week_ndcg_fav_benefit_full,2024-10-01,3195,665,2024-09-28,676
week_ndcg_fav_benefit_full,2025-01-01,3525,735,2024-12-29,676
week_ndcg_fav_benefit_full,2025-04-01,3810,790,2025-03-29,676
week_ndcg_fav_benefit_full,2025-07-01,4105,855,2025-06-28,676
week_ndcg_fav_benefit_full,2025-10-01,4435,925,2025-09-30,676
week_ndcg_fav_benefit_full,2026-01-01,4760,990,2025-12-31,676
week_ndcg_fav_benefit_full,2026-04-01,5030,1050,2026-03-31,676
week_ndcg_fav_benefit_full,2026-07-01,5340,1115,2026-06-30,676
