rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap
0.15,214,0.8463276836158192,20,0,0.397196261682243,0.3379032258064516,1.1754734235942275,0.5149651597824412,22.695063615911927,1.1754734235942275,1.1754734235942275,1,1,0.8305084745762712,0.8700564971751413,1.0158730158730158,0.6363636363636364,1.1754734235942275,0.8463276836158192,0.8463276836158192,0.7477272727272728,1.0181818181818183,4,week_pair_fav_compact,rolling,0.15,20,0,0,0.0,0.0,0,0
0.15,192,0.7593220338983051,40,0,0.3489583333333333,0.3379032258064516,1.032716785998409,0.5149651597824412,14.190753678657993,1.032716785998409,1.032716785998409,1,1,0.692090395480226,0.8502824858757062,0.8722943722943722,0.6310160427807486,1.032716785998409,0.7593220338983051,0.7593220338983051,0.525,1.0181818181818183,4,week_pair_fav_compact,rolling,0.15,40,0,0,0.0,0.0,0,0
0.15,200,0.7909604519774012,60,0,0.33,0.3379032258064516,0.9766109785202864,0.5149651597824412,30.25582331632376,0.9766109785202864,0.9766109785202864,0,1,0.692090395480226,0.9293785310734464,0.775,0.6564102564102564,0.9766109785202864,0.7909604519774012,0.7909604519774012,0.46136363636363636,1.2568181818181818,4,week_pair_fav_compact,rolling,0.15,60,0,0,0.0,0.0,0,0
0.15,192,0.7593220338983051,120,0,0.3072916666666667,0.3379032258064516,0.9094073190135243,0.5149651597824412,29.845599275362733,0.9094073190135243,0.9094073190135243,0,1,0.731638418079096,0.7909604519774012,0.775,0.6684491978609626,0.9094073190135243,0.7593220338983051,0.7593220338983051,0.42,1.4000000000000001,4,week_pair_fav_compact,rolling,0.15,120,0,0,0.0,0.0,0,0
0.15,214,0.8463276836158192,250,0,0.3177570093457944,0.3379032258064516,0.9403787388753819,0.5149651597824412,24.987478238914086,0.9403787388753819,0.9403787388753819,0,1,0.8107344632768362,0.8700564971751413,0.7643597646399553,0.7129186602870813,0.9403787388753819,0.8463276836158192,0.8463276836158192,0.45617977528089887,1.7340909090909091,4,week_pair_fav_compact,rolling,0.15,250,0,0,0.0,0.0,0,0
0.15,137,0.5418079096045197,40,3,0.40145985401459855,0.3379032258064516,1.1880912147448741,0.5149651597824412,17.345261240575233,1.1880912147448741,1.1880912147448741,1,1,0.4943502824858757,0.632768361581921,0.96875,0.44696969696969696,1.1880912147448741,0.5418079096045197,0.5418079096045197,0.385,0.7954545454545455,4,week_pair_fav_compact,rolling,0.15,40,3,0,0.0,0.0,0,0
0.15,140,0.5536723163841808,60,3,0.38571428571428573,0.3379032258064516,1.1414933515172179,0.5149651597824412,32.55839923084798,1.1414933515172179,1.1414933515172179,1,1,0.4943502824858757,0.632768361581921,0.8746081504702194,0.4666666666666667,1.1414933515172179,0.5536723163841808,0.5536723163841808,0.3340909090909091,0.9386363636363637,4,week_pair_fav_compact,rolling,0.15,60,3,0,0.0,0.0,0,0
0.15,136,0.5378531073446328,120,3,0.3088235294117647,0.3379032258064516,0.9139407552997333,0.5149651597824412,23.629533085992193,0.9139407552997333,0.9139407552997333,0,1,0.5141242937853108,0.5734463276836158,0.7045454545454545,0.5114503816793893,0.9139407552997333,0.5378531073446328,0.5378531073446328,0.33249999999999996,0.9863636363636364,4,week_pair_fav_compact,rolling,0.15,120,3,0,0.0,0.0,0,0
0.18,255,1.0084745762711864,20,0,0.403921568627451,0.3379032258064516,1.1953764799475877,0.5149651597824412,25.61982336633688,1.1953764799475877,1.1953764799475877,1,1,0.9689265536723164,1.0677966101694916,1.0769230769230769,0.68,1.1953764799475877,1.0084745762711864,1.0084745762711864,0.8909090909090909,1.1375,4,week_pair_fav_compact,rolling,0.18,20,0,0,0.0,0.0,0,0
0.18,241,0.9531073446327685,40,0,0.3651452282157676,0.3379032258064516,1.0806207231206488,0.5149651597824412,23.15367011899571,1.0806207231206488,1.0806207231206488,1,1,0.8502824858757062,1.0282485875706215,0.9581818181818182,0.673728813559322,1.0806207231206488,0.9531073446327685,0.9531073446327685,0.7000000000000001,1.2727272727272727,4,week_pair_fav_compact,rolling,0.18,40,0,0,0.0,0.0,0,0
0.18,235,0.9293785310734464,60,0,0.3574468085106383,0.3379032258064516,1.0578378103894786,0.5149651597824412,30.23634554093961,1.0578378103894786,1.0578378103894786,1,1,0.8898305084745763,1.0480225988700564,0.857707509881423,0.691304347826087,1.0578378103894786,0.9293785310734464,0.9293785310734464,0.5886363636363636,1.4318181818181819,4,week_pair_fav_compact,rolling,0.18,60,0,0,0.0,0.0,0,0
0.18,226,0.8937853107344633,120,0,0.3053097345132743,0.3379032258064516,0.903541935075084,0.5149651597824412,27.618914295417298,0.903541935075084,0.903541935075084,0,1,0.8700564971751413,0.9293785310734464,0.746987951807229,0.7194570135746606,0.903541935075084,0.8937853107344633,0.8937853107344633,0.5568181818181819,1.7022727272727272,4,week_pair_fav_compact,rolling,0.18,120,0,0,0.0,0.0,0,0
0.18,253,1.0005649717514125,250,0,0.33992094861660077,0.3379032258064516,1.0059713037818256,0.5149651597824412,28.76613390340941,1.0059713037818256,1.0059713037818256,1,1,0.9491525423728814,1.0282485875706215,0.821969696969697,0.7137096774193549,1.0059713037818256,1.0005649717514125,1.0005649717514125,0.6840909090909091,1.8772727272727274,4,week_pair_fav_compact,rolling,0.18,250,0,0,0.0,0.0,0,0
0.18,171,0.6762711864406781,40,3,0.42105263157894735,0.3379032258064516,1.2460746137419922,0.5149651597824412,22.895618712921124,1.2460746137419922,1.2460746137419922,1,1,0.612994350282486,0.731638418079096,1.0865279299014239,0.5240963855421686,1.2460746137419922,0.6762711864406781,0.6762711864406781,0.525,0.9386363636363637,4,week_pair_fav_compact,rolling,0.18,40,3,0,0.0,0.0,0,0
0.18,161,0.6367231638418079,60,3,0.42857142857142855,0.3379032258064516,1.268325946130242,0.5149651597824412,34.638129951800934,1.268325946130242,1.268325946130242,1,1,0.5734463276836158,0.731638418079096,1.0568181818181817,0.5256410256410257,1.268325946130242,0.6367231638418079,0.6367231638418079,0.40249999999999997,1.05,4,week_pair_fav_compact,rolling,0.18,60,3,0,0.0,0.0,0,0
0.18,147,0.5813559322033899,120,3,0.32653061224489793,0.3379032258064516,0.966343578003994,0.5149651597824412,14.502649465954711,0.966343578003994,0.966343578003994,0,1,0.5734463276836158,0.5932203389830508,0.6802507836990596,0.5352112676056338,0.966343578003994,0.5813559322033899,0.5813559322033899,0.3659090909090909,1.0818181818181818,4,week_pair_fav_compact,rolling,0.18,120,3,0,0.0,0.0,0,0
