rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,candidate,family,status
0.22,731,1.0671532846715328,120,0,0.4103967168262654,0.294478527607362,1.3936388508891928,0.6036195652173914,50.64518604165996,1.2692034045692904,1.424568997465127,3,3,1.0218978102189782,1.1240875912408759,1.2981343558734608,0.8471074380165289,1.395361049987714,0.8213333333333332,1.2734463276836159,invariant_summary_hist,invariant,post-hoc sensitivity; forbidden for selection
0.3,880,1.2846715328467153,250,0,0.39431818181818185,0.294478527607362,1.3390388257575758,0.5716915760869565,33.524355117919725,1.1086502236873086,1.2337893710712966,3,3,1.2116788321167884,1.3941605839416058,1.1260156847201384,0.8674285714285714,1.269056684508767,0.9780281690140845,1.7235555555555553,domain_balanced_logit,stable,post-hoc sensitivity; forbidden for selection
0.25,791,1.154744525547445,250,0,0.38811630847029077,0.294478527607362,1.3179782975136956,0.6098765851449275,33.87025536230991,0.4929858576642336,1.2061531056336616,2,3,0.9781021897810219,1.3065693430656935,1.2141527001862196,0.9351145038167938,0.9802547408534902,0.2523943661971831,1.8824858757062148,invariant_extra_anchor50,ensemble,post-hoc sensitivity; forbidden for selection
0.4,1349,1.9693430656934308,120,0,0.38472942920681985,0.294478527607362,1.3064770200148257,0.6162866847826087,39.801038711508234,1.152905691318799,1.3678868431564803,3,3,1.8832116788321167,2.0437956204379564,1.2445812807881773,0.9308035714285714,1.315327129130728,1.5853521126760564,2.578531073446328,multi_extra_geometric,multi_horizon,post-hoc sensitivity; forbidden for selection
0.3,948,1.383941605839416,250,0,0.3818565400843882,0.294478527607362,1.2967211673699015,0.6301379076086957,37.51546926454189,1.1489540923768076,1.262153368894942,3,3,1.2919708029197081,1.5036496350364963,1.1499118165784832,0.9013785790031813,1.249585855742965,0.6112676056338028,2.3531073446327686,new_triad_anchor25,ensemble,post-hoc sensitivity; forbidden for selection
0.4,1372,2.002919708029197,120,0,0.37973760932944606,0.294478527607362,1.2895256316812438,0.6139298007246377,37.679286178947294,1.1348179518007429,1.3698654644339485,3,3,1.9343065693430657,2.0802919708029197,1.235894333534987,0.9326993416239941,1.3003243903659893,1.6090140845070422,2.629943502824859,multi_extra_lower,multi_horizon,post-hoc sensitivity; forbidden for selection
0.35,1283,1.8729927007299272,120,0,0.3764614185502728,0.294478527607362,1.278400233826968,0.611036231884058,28.12763064001821,1.1716344307838251,1.2316530013159228,3,3,1.7372262773722629,1.9635036496350364,1.2341522351993557,0.9342723004694836,1.2607637249283232,1.3921126760563378,2.5073446327683615,invariant_summary_extra,invariant,post-hoc sensitivity; forbidden for selection
0.4,1206,1.7605839416058393,120,0,0.3756218905472637,0.294478527607362,1.275549336650083,0.5648451086956522,25.726240027832326,1.1598460639796586,1.2188914851699593,3,3,1.7007299270072993,1.8175182481751824,1.1321105404744436,0.9109075770191507,1.267174527933055,1.3564444444444443,2.266101694915254,era_extra_anchor25,ensemble,post-hoc sensitivity; forbidden for selection
0.4,1067,1.5576642335766424,0,0,0.3711340206185567,0.294478527607362,1.2603092783505154,0.5714569746376812,25.81682456087769,1.076181005494956,1.2257028216917145,3,3,1.3503649635036497,1.7518248175182483,1.0933237937664892,0.884180790960452,1.2202712661478432,1.403943661971831,2.1404444444444444,invariant_summary_logit,invariant,post-hoc sensitivity; forbidden for selection
0.35,474,0.691970802919708,250,3,0.3670886075949367,0.294478527607362,1.2465717299578059,0.6099338768115942,33.28112075821085,1.0903152870242432,1.262043795620438,3,3,0.656934306569343,0.7445255474452555,1.1615596050086532,0.7654584221748401,1.2085399562888761,0.39436619718309857,0.9768361581920904,ordinal_count_extra,rich_target,post-hoc sensitivity; forbidden for selection
