period,policy,observed_lift,circular_shift_p_unadjusted,circular_shift_p_max_adjusted,n_recorded_policies,observed_max_lift,null_max_lift_q95
shock_2022_2023,invariant_summary_hist,0.649024024024024,0.9980004998750313,1.0,16,1.198319725476275,1.5946313285762828
shock_2022_2023,path_analogue_knn250,0.9087564385577632,0.8045488627843039,1.0,16,1.198319725476275,1.5946313285762828
shock_2022_2023,era_logit_median,0.9129888371405337,0.6603349162709322,1.0,16,1.198319725476275,1.5946313285762828
shock_2022_2023,path_analogue_knn100,0.8781450226597906,0.8597850537365659,1.0,16,1.198319725476275,1.5946313285762828
shock_2022_2023,invariant_extra_anchor50,1.0738956214208077,0.23969007748062984,0.9765058735316171,16,1.198319725476275,1.5946313285762828
shock_2022_2023,new_triad_equal,0.867989087714431,0.775806048487878,1.0,16,1.198319725476275,1.5946313285762828
shock_2022_2023,era_logit_lower,0.9651715936119606,0.5743564108972756,1.0,16,1.198319725476275,1.5946313285762828
shock_2022_2023,invariant_summary_extra,0.7235823394015485,0.994751312171957,1.0,16,1.198319725476275,1.5946313285762828
shock_2022_2023,stable_invariant_logit,0.9777101963481892,0.6400899775056236,1.0,16,1.198319725476275,1.5946313285762828
shock_2022_2023,anchor_multiscale_locked,1.198319725476275,0.05723569107723069,0.6768307923019246,16,1.198319725476275,1.5946313285762828
shock_2022_2023,future_floor_hist,0.8006370144878517,0.9560109972506873,1.0,16,1.198319725476275,1.5946313285762828
shock_2022_2023,multi_extra_geometric,0.8400418582053294,0.9532616845788553,1.0,16,1.198319725476275,1.5946313285762828
shock_2022_2023,multi_extra_lower,0.8319309843988681,0.9640089977505624,1.0,16,1.198319725476275,1.5946313285762828
shock_2022_2023,ordinal_count_extra,0.7450632832664739,0.9722569357660585,1.0,16,1.198319725476275,1.5946313285762828
shock_2022_2023,domain_balanced_logit,1.0382513661202186,0.40589852536865784,0.9925018745313672,16,1.198319725476275,1.5946313285762828
shock_2022_2023,rocket_logit,1.067913988368534,0.21044738815296177,0.9835041239690078,16,1.198319725476275,1.5946313285762828
retrospective_2024_2026,invariant_summary_hist,1.3936388508891928,0.007748062984253936,0.03649087728067983,16,1.3936388508891928,1.3784632731958761
retrospective_2024_2026,path_analogue_knn250,1.1857274401473297,0.02499375156210947,0.4923769057735566,16,1.3936388508891928,1.3784632731958761
retrospective_2024_2026,era_logit_median,1.1105394883203559,0.23644088977755562,0.7588102974256435,16,1.3936388508891928,1.3784632731958761
retrospective_2024_2026,path_analogue_knn100,1.1291970064724919,0.11747063234191452,0.6968257935516121,16,1.3936388508891928,1.3784632731958761
retrospective_2024_2026,invariant_extra_anchor50,1.3179782975136956,0.026743314171457137,0.13596600849787552,16,1.3936388508891928,1.3784632731958761
retrospective_2024_2026,new_triad_equal,1.2428049828178693,0.053486628342914275,0.3264183954011497,16,1.3936388508891928,1.3784632731958761
retrospective_2024_2026,era_logit_lower,0.9969001340482572,0.48712821794551364,0.9850037490627344,16,1.3936388508891928,1.3784632731958761
retrospective_2024_2026,invariant_summary_extra,1.278400233826968,0.004498875281179705,0.22544363909022744,16,1.3936388508891928,1.3784632731958761
retrospective_2024_2026,stable_invariant_logit,1.219401520726024,0.014496375906023495,0.38315421144713824,16,1.3936388508891928,1.3784632731958761
retrospective_2024_2026,anchor_multiscale_locked,1.2366493055555556,0.029242689327668082,0.3414146463384154,16,1.3936388508891928,1.3784632731958761
retrospective_2024_2026,future_floor_hist,1.0082163958641064,0.44413896525868535,0.9705073731567109,16,1.3936388508891928,1.3784632731958761
retrospective_2024_2026,multi_extra_geometric,1.3064770200148257,0.00024993751562109475,0.15096225943514122,16,1.3936388508891928,1.3784632731958761
retrospective_2024_2026,multi_extra_lower,1.2895256316812438,0.00024993751562109475,0.19495126218445388,16,1.3936388508891928,1.3784632731958761
retrospective_2024_2026,ordinal_count_extra,1.2465717299578059,0.025243689077730568,0.31017245688577855,16,1.3936388508891928,1.3784632731958761
retrospective_2024_2026,domain_balanced_logit,1.3390388257575758,0.00024993751562109475,0.09222694326418396,16,1.3936388508891928,1.3784632731958761
retrospective_2024_2026,rocket_logit,0.9633368200836819,0.6375906023494127,0.9965008747813047,16,1.3936388508891928,1.3784632731958761
