policy,n,frequency,lift,forward_benefit_bps,lift_ci_low,lift_ci_high,p_lift_le_1,benefit_ci_low,benefit_ci_high,lift_diff_vs_anchor,lift_diff_vs_anchor_ci_low,lift_diff_vs_anchor_ci_high,period
anchor_multiscale_locked,939,1.8309192200557105,1.198319725476275,63.045394812328546,0.9666241652334939,1.4476770996875017,0.053486628342914275,1.1810209970329062,129.58656316525216,0.0,0.0,0.0,shock_2022_2023
domain_balanced_logit,793,1.5462395543175487,1.0382513661202186,9.918016208858173,0.8345829823144942,1.264648480733831,0.34841289677580606,-80.8089452453528,93.20128170091338,-0.16006835935605634,-0.5116785522329561,0.21032516589678446,shock_2022_2023
invariant_extra_anchor50,761,1.4838440111420612,1.0738956214208077,-15.217910699117013,0.8277742656892401,1.295768469265974,0.38115471132216944,-107.23641015575339,42.816788294749394,-0.12442410405546722,-0.4773604786576532,0.17019395833545375,shock_2022_2023
rocket_logit,968,1.8874651810584957,1.067913988368534,13.805646213339134,0.8805816793239037,1.3091946722695265,0.208447888027993,-31.773374775404395,60.361243141219035,-0.13040573710774095,-0.46465204878999106,0.23521586266439756,shock_2022_2023
stable_invariant_logit,1023,1.994707520891365,0.9777101963481892,13.023669222347543,0.8198226620568903,1.188762042134674,0.5801049737565609,-39.78075463113805,69.89492020416168,-0.22060952912808574,-0.508297672037601,0.1007202825518726,shock_2022_2023
anchor_multiscale_locked,1200,1.7518248175182483,1.2366493055555556,24.575349452045316,1.035301645619808,1.444834946538424,0.009997500624843789,-7.798159253895455,48.92790394517138,0.0,0.0,0.0,retrospective_2024_2026
domain_balanced_logit,880,1.2846715328467153,1.3390388257575758,33.524355117919725,1.1125638424569197,1.618255991706032,0.001999500124968758,-3.6131428540815222,74.15585887211418,0.10238952020202019,-0.18490033385312868,0.44662394641403924,retrospective_2024_2026
invariant_extra_anchor50,791,1.154744525547445,1.3179782975136956,33.87025536230991,1.0189747136976453,1.5610971354766254,0.018745313671582105,-10.488186373887574,62.943041071023856,0.08132899195813992,-0.14097975075879993,0.23380408371874756,retrospective_2024_2026
rocket_logit,1195,1.7445255474452555,0.9633368200836819,-0.8674080256828473,0.8058761661763995,1.1743516343204403,0.5906023494126469,-22.681085793425293,25.70266459771655,-0.2733124854718737,-0.551995460877587,0.056006123420686546,retrospective_2024_2026
stable_invariant_logit,1359,1.9839416058394161,1.219401520726024,20.759638913972463,1.0467051331984758,1.4114989774704618,0.007248187953011747,-7.626560921092854,46.07149631620403,-0.0172477848295316,-0.21241815859433186,0.20197811100641241,retrospective_2024_2026
