rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,candidate,family,stage1_rate,stage1_rolling,stage1_cooldown,robustness,clears_1p30_gate
0.25,939,1.8309192200557105,120,0,0.3929712460063898,0.32793522267206476,1.198319725476275,0.5978473151866726,63.045394812328546,1.1715132481564055,1.2284801759715158,2,2,1.637883008356546,1.9108635097493036,1.085243974132863,0.9571734475374732,1.2284801759715158,1.5621468926553672,2.151412429378531,anchor_multiscale_locked,anchor,0.25,120,0,1.085243974132863,False
0.3,793,1.5462395543175487,250,0,0.34047919293820933,0.32793522267206476,1.0382513661202186,0.5211877138182359,9.918016208858173,0.9524824882952854,1.037079731745619,1,2,1.501392757660167,1.6183844011142061,0.9796251652539076,0.9137055837563451,1.037079731745619,1.269491525423729,1.866666666666667,domain_balanced_logit,stable,0.3,250,0,0.9524824882952854,False
0.25,761,1.4838440111420612,250,0,0.35216819973718794,0.32793522267206476,1.0738956214208077,0.49903651643611485,-15.217910699117013,0.9733374970259339,1.0831179230590338,1,2,1.4331476323119778,1.5598885793871866,0.945546875,0.9007936507936508,1.0831179230590338,1.301129943502825,1.7084745762711866,invariant_extra_anchor50,ensemble,0.25,250,0,0.945546875,False
0.35,968,1.8874651810584957,120,0,0.35020661157024796,0.32793522267206476,1.067913988368534,0.5510248401011453,13.805646213339134,0.9122126696993262,1.102238368876581,1,2,1.6866295264623956,1.9693593314763231,0.9917275276037519,0.9158878504672897,1.102238368876581,1.4435028248587571,2.3847457627118644,rocket_logit,rocket,0.35,120,0,0.9122126696993262,False
0.4,1023,1.994707520891365,120,0,0.3206256109481916,0.32793522267206476,0.9777101963481892,0.5276982002082404,13.023669222347543,0.9136605194260747,0.9875935041115367,1,2,1.8621169916434541,2.1253481894150417,0.8434146341463415,0.9086444007858546,0.9875935041115367,1.985310734463277,2.0604519774011303,stable_invariant_logit,stable,0.4,120,0,0.8434146341463415,False
0.18,218,0.4250696378830084,0,0,0.3165137614678899,0.32793522267206476,0.9651715936119606,0.5378168228469433,41.056950666329584,1.1396340974135395,1.1396340974135395,1,1,0.3802228412256268,0.48746518105849584,0.8283536585365854,0.8497652582159625,,0.0,0.8621468926553673,era_logit_lower,era,0.18,0,0,0.8283536585365854,False
0.18,316,0.6161559888579388,250,3,0.2879746835443038,0.32793522267206476,0.8781450226597906,0.4724951658485794,-29.018120220948724,0.8445812187308785,0.8773574910918499,0,2,0.575208913649025,0.6629526462395543,0.771875,0.5562700964630225,0.8773574910918499,0.6090395480225989,0.6406779661016949,path_analogue_knn100,analogue,0.18,250,3,0.771875,False
0.4,986,1.9225626740947075,120,0,0.27281947261663286,0.32793522267206476,0.8319309843988681,0.4311386285884278,-46.52845912639813,0.7773986217863769,0.8100819967298356,0,2,1.8816155988857939,1.9791086350974931,0.752819262419994,0.926605504587156,0.8100819967298356,1.7401129943502827,2.159322033898305,multi_extra_lower,multi_horizon,0.4,120,0,0.752819262419994,False
0.25,604,1.177715877437326,120,0,0.2980132450331126,0.32793522267206476,0.9087564385577632,0.4911914323962516,-34.03539624048796,0.8527696793002915,0.9024019702711307,0,2,1.1406685236768803,1.2089136490250696,0.7515808491418249,0.7946577629382304,0.9024019702711307,1.1864406779661016,1.2022598870056498,path_analogue_knn250,analogue,0.25,120,0,0.7515808491418249,False
0.4,991,1.9323119777158773,120,0,0.27547931382441976,0.32793522267206476,0.8400418582053294,0.4338174921909862,-41.97766117322269,0.7709676776665759,0.81426335967244,0,2,1.8523676880222841,1.988857938718663,0.7477124183006536,0.9239350912778904,0.81426335967244,1.7361581920903955,2.1830508474576273,multi_extra_geometric,multi_horizon,0.4,120,0,0.7477124183006536,False
