c,horizon,feature,coefficient
0.005,1,currency_0,0.009568530926505852
0.005,1,currency_1,-0.02770578401487991
0.005,1,currency_2,0.021286998639602633
0.005,1,currency_3,0.02611515672829244
0.005,1,currency_4,-0.02851100137359055
0.005,1,dow_0,0.0
0.005,1,dow_1,-0.05384032622273439
0.005,1,dow_2,0.07870816172955626
0.005,1,dow_3,-0.038348915925848756
0.005,1,dow_4,-0.025602156096822228
0.005,1,dow_5,0.035668517356629605
0.005,1,dow_6,0.004168620065149737
0.005,1,month_0,0.04121872059370554
0.005,1,month_1,0.077685918547107
0.005,1,month_2,-0.015751194536643993
0.005,1,month_3,-0.030837855844046826
0.005,1,month_4,-0.07013036305674004
0.005,1,month_5,-0.03404213188137944
0.005,1,month_6,0.06564789168489593
0.005,1,month_7,0.1335737638417682
0.005,1,month_8,-0.07569139507349615
0.005,1,month_9,-0.07093196882650334
0.005,1,month_10,0.022878619608698164
0.005,1,month_11,-0.042866104151434624
0.005,1,dom_bin_0,0.05694240194901921
0.005,1,dom_bin_1,-0.12166499835824952
0.005,1,dom_bin_2,0.07882895969567713
0.005,1,dom_bin_3,-0.013352462380516336
0.005,1,dow_sin,-0.008923283114526991
0.005,1,dow_cos,0.0011969165073346852
0.005,1,dom_sin,-0.04892676394174268
0.005,1,dom_cos,0.11381685709242606
0.005,1,month_sin,-0.012076228411405897
0.005,1,month_cos,-0.003996656420296952
0.005,1,days_to_month_end,0.00013341641697678732
0.005,1,month_end_3d,-0.05168726561289664
0.005,1,month_start_3d,0.141141656517196
0.005,1,payday_exact,-0.03635123853993002
0.005,1,new_year_season,-0.0016473835577291334
0.005,1,quarter_end_5d,0.026481691743821423
0.005,1,currency_0_dow_0,0.0
0.005,1,currency_1_dow_0,0.0
0.005,1,currency_2_dow_0,0.0
0.005,1,currency_3_dow_0,0.0
0.005,1,currency_4_dow_0,0.0
0.005,1,currency_0_dow_1,-0.0024699792161989756
0.005,1,currency_1_dow_1,-0.06226255884097312
0.005,1,currency_2_dow_1,-0.0062513828891583995
0.005,1,currency_3_dow_1,0.009177057243719889
0.005,1,currency_4_dow_1,0.007966537479876346
0.005,1,currency_0_dow_2,0.019702163551420113
0.005,1,currency_1_dow_2,0.025708166444550755
0.005,1,currency_2_dow_2,0.015706941668846973
0.005,1,currency_3_dow_2,0.030814642282783567
0.005,1,currency_4_dow_2,-0.013223752218045035
0.005,1,currency_0_dow_3,0.0002637311149749344
0.005,1,currency_1_dow_3,0.009769171976703885
0.005,1,currency_2_dow_3,0.0029880523956248507
0.005,1,currency_3_dow_3,-0.012264664636511822
0.005,1,currency_4_dow_3,-0.03910520677664058
0.005,1,currency_0_dow_4,-0.020023394382904482
0.005,1,currency_1_dow_4,0.023062591409597304
0.005,1,currency_2_dow_4,0.002730180959391112
0.005,1,currency_3_dow_4,0.007638386858253319
0.005,1,currency_4_dow_4,-0.03900992094115946
0.005,1,currency_0_dow_5,0.017222986227623204
0.005,1,currency_1_dow_5,-0.024114245848474054
0.005,1,currency_2_dow_5,0.0064512521103839105
0.005,1,currency_3_dow_5,-0.008865453027465124
0.005,1,currency_4_dow_5,0.04497397789456164
0.005,1,currency_0_dow_6,-0.005126976368409332
0.005,1,currency_1_dow_6,0.0001310908437155874
0.005,1,currency_2_dow_6,-0.00033804560548582075
0.005,1,currency_3_dow_6,-0.00038481199248728066
0.005,1,currency_4_dow_6,0.009887363187816581
0.005,1,currency_0_dom_bin_0,0.011917840495190827
0.005,1,currency_1_dom_bin_0,0.023595378623580913
0.005,1,currency_2_dom_bin_0,0.017317172633602704
0.005,1,currency_3_dom_bin_0,0.012088499295994072
0.005,1,currency_4_dom_bin_0,-0.007976489099349417
0.005,1,currency_0_dom_bin_1,-0.0305257248837524
0.005,1,currency_1_dom_bin_1,-0.03151233886965516
0.005,1,currency_2_dom_bin_1,-0.022157603124546368
0.005,1,currency_3_dom_bin_1,-0.017526002689745176
0.005,1,currency_4_dom_bin_1,-0.01994332879055046
0.005,1,currency_0_dom_bin_2,-0.004568953014445403
0.005,1,currency_1_dom_bin_2,-0.022143396304105785
0.005,1,currency_2_dom_bin_2,0.0187880618012575
0.005,1,currency_3_dom_bin_2,0.03234292647659238
0.005,1,currency_4_dom_bin_2,0.0544103207363785
0.005,1,currency_0_dom_bin_3,0.03274536832951247
0.005,1,currency_1_dom_bin_3,0.0023545725353004534
0.005,1,currency_2_dom_bin_3,0.007339367329288855
0.005,1,currency_3_dom_bin_3,-0.0007902663545488129
0.005,1,currency_4_dom_bin_3,-0.05500150422006927
0.005,3,currency_0,-0.0030884257129873893
0.005,3,currency_1,-0.01622864349234515
0.005,3,currency_2,0.02449826980060798
0.005,3,currency_3,0.029531792919398957
0.005,3,currency_4,-0.03441571827076113
0.005,3,dow_0,0.0
0.005,3,dow_1,-0.01700369884013879
0.005,3,dow_2,0.027590706075441368
0.005,3,dow_3,-0.028243391714686605
0.005,3,dow_4,-0.01819817346468998
0.005,3,dow_5,0.035498840106009684
0.005,3,dow_6,0.0006529930819763279
0.005,3,month_0,0.07403421813513883
0.005,3,month_1,0.12316103434285597
0.005,3,month_2,-0.01458222192821424
0.005,3,month_3,-0.0704535975884019
0.005,3,month_4,-0.14499858477110508
0.005,3,month_5,-0.0032080327877352915
0.005,3,month_6,0.09424257237002606
0.005,3,month_7,0.16968924762195678
0.005,3,month_8,-0.10383825539835437
0.005,3,month_9,-0.061359390265980945
0.005,3,month_10,-0.01013512504634115
0.005,3,month_11,-0.052254589439932816
0.005,3,dom_bin_0,0.10678603774885798
0.005,3,dom_bin_1,-0.19270556545764914
0.005,3,dom_bin_2,0.026706547912319592
0.005,3,dom_bin_3,0.05951025504038384
0.005,3,dow_sin,-0.025872875231660937
0.005,3,dow_cos,0.01760916068939484
0.005,3,dom_sin,-0.0882972843558117
0.005,3,dom_cos,0.07727631587287202
0.005,3,month_sin,-0.04733222466469739
0.005,3,month_cos,0.009081215126786023
0.005,3,days_to_month_end,0.0016081617170427436
0.005,3,month_end_3d,-0.11661727415300079
0.005,3,month_start_3d,0.07849188206313147
0.005,3,payday_exact,-0.06526252219588913
0.005,3,new_year_season,0.021779628695205992
0.005,3,quarter_end_5d,0.026919969846476034
0.005,3,currency_0_dow_0,0.0
0.005,3,currency_1_dow_0,0.0
0.005,3,currency_2_dow_0,0.0
0.005,3,currency_3_dow_0,0.0
0.005,3,currency_4_dow_0,0.0
0.005,3,currency_0_dow_1,0.0037957322120177783
0.005,3,currency_1_dow_1,-0.012533560975290351
0.005,3,currency_2_dow_1,-0.00253558458870721
0.005,3,currency_3_dow_1,-0.0007718768701142092
0.005,3,currency_4_dow_1,-0.004958408618044769
0.005,3,currency_0_dow_2,0.01885750988066982
0.005,3,currency_1_dow_2,0.0065898364968329445
0.005,3,currency_2_dow_2,-0.005174128785338747
0.005,3,currency_3_dow_2,0.03125543400109023
0.005,3,currency_4_dow_2,-0.02393794551781285
0.005,3,currency_0_dow_3,-1.1424347032356943e-05
