period,candidate,control_lift,challenger_lift,lift_difference,lift_difference_ci_low,lift_difference_ci_high,p_challenger_not_better,control_benefit_bps,challenger_benefit_bps,benefit_difference_ci_low,benefit_difference_ci_high,observed_lift_difference,circular_p_unadjusted,circular_p_max_adjusted,null_max_difference_q95,n_challengers
shock_2022_2023,cny050_anchor050,1.5338212463960967,1.676242005057266,0.1424207586611692,-0.06236760893738812,0.4174985517734897,0.08722819295176205,86.48280694397572,115.02276883068946,-11.082285307076631,86.85490943175357,0.1424207586611692,0.06323419145213696,0.06448387903024244,0.15743557507920336,6
shock_2022_2023,cny060_anchor040,1.5338212463960967,1.684944203462722,0.15112295706662526,-0.013494731282677508,0.3654584479238652,0.0379905023744064,86.48280694397572,112.99458820964205,-6.484292407112862,76.33189173645006,0.15112295706662526,0.033741564608847786,0.056485878530367406,0.15743557507920336,6
shock_2022_2023,cny070_anchor030,1.5338212463960967,1.649438832772166,0.11561758637606934,-0.022150675495268123,0.28013983807863313,0.047238190452386905,86.48280694397572,112.38460185714824,-3.2425129574044074,65.91815621026238,0.11561758637606934,0.05373656585853537,0.1232191952011997,0.15743557507920336,6
shock_2022_2023,cny075_anchor025,1.5338212463960967,1.633103602846417,0.09928235645032024,-0.024937146518972157,0.23400097236932402,0.05598600349912522,86.48280694397572,109.36328885667562,-2.2814735971843443,53.47029559420522,0.09928235645032024,0.06973256685828542,0.17845538615346163,0.15743557507920336,6
shock_2022_2023,cny080_anchor020,1.5338212463960967,1.615474507586467,0.0816532611903702,-0.03252040637935668,0.20989656308189225,0.07948012996750813,86.48280694397572,109.07855372264366,-2.2294401056343274,52.70813923444673,0.0816532611903702,0.09597600599850037,0.22819295176205948,0.15743557507920336,6
shock_2022_2023,cny090_anchor010,1.5338212463960967,1.560778727445394,0.026957481049297183,-0.04684546117388086,0.12766709340584612,0.22869282679330166,86.48280694397572,95.71155341872232,-5.307930379905341,29.313650240024508,0.026957481049297183,0.22369407648087977,0.4976255936015996,0.15743557507920336,6
lifecycle_2017_2026,cny050_anchor050,1.7446026630502411,1.7819796021021441,0.03737693905190298,-0.019514940742396406,0.10002424342349069,0.09622594351412148,61.177426040571554,67.43757654510969,-2.4792172635896192,16.860190440720103,0.03737693905190298,0.04773806548362909,0.052236940764808795,0.037571492405203834,6
lifecycle_2017_2026,cny060_anchor040,1.7446026630502411,1.784421158136081,0.03981849508583979,-0.006233477121499524,0.09033886686223801,0.04498875281179705,61.177426040571554,67.02084972498143,-1.4746056104274818,15.27896966537723,0.03981849508583979,0.02124468882779305,0.0427393151712072,0.037571492405203834,6
lifecycle_2017_2026,cny070_anchor030,1.7446026630502411,1.7746656474352085,0.03006298438496735,-0.008068763605322365,0.07099837871269943,0.05998500374906274,61.177426040571554,66.79523169253916,-0.8863881511059348,13.516661605513404,0.03006298438496735,0.029242689327668082,0.10122469382654337,0.037571492405203834,6
lifecycle_2017_2026,cny075_anchor025,1.7446026630502411,1.770445224169952,0.02584256111971084,-0.006730613723657341,0.060388114817679826,0.06123469132716821,61.177426040571554,66.14646223670546,-0.7538110933371892,11.675833363246586,0.02584256111971084,0.03649087728067983,0.13621594601349662,0.037571492405203834,6
lifecycle_2017_2026,cny080_anchor020,1.7446026630502411,1.7654957950442431,0.020893131994002,-0.0095373171469748,0.05248844297786807,0.08672831792051987,61.177426040571554,65.9979604137505,-0.7278625045310432,11.426646902406496,0.020893131994002,0.06248437890527368,0.20294926268432892,0.037571492405203834,6
lifecycle_2017_2026,cny090_anchor010,1.7446026630502411,1.7520272094645493,0.00742454641430812,-0.012136241733070168,0.03004699589342336,0.24418895276180955,61.177426040571554,63.30811597247891,-1.1356953856562604,6.42425245655175,0.00742454641430812,0.17820544863784055,0.49162709322669335,0.037571492405203834,6
