origin,cadence,kind,endpoint,n_risk,positive_labels,n_recent_records
2022-07-01,month,fine_full20,19,55,2,0
2022-07-01,month,fine_full20,20,53,1,0
2022-07-01,month,fine_partial,1,570,339,95
2022-07-01,month,fine_partial,2,230,52,32
2022-07-01,month,fine_partial,3,178,41,24
2022-07-01,month,fine_partial,4,137,13,12
2022-07-01,month,fine_partial,5,122,13,7
2022-07-01,month,fine_partial,6,109,6,5
2022-07-01,month,fine_partial,7,103,8,3
2022-07-01,month,fine_partial,8,95,5,0
2022-07-01,month,fine_partial,9,90,2,0
2022-07-01,month,fine_partial,10,88,5,0
2022-07-01,month,fine_partial,11,83,6,0
2022-07-01,month,fine_partial,12,77,2,0
2022-07-01,month,fine_partial,13,75,5,0
2022-07-01,month,fine_partial,14,70,1,0
2022-07-01,month,fine_partial,15,69,4,0
2022-07-01,month,fine_partial,16,65,6,0
2022-07-01,month,fine_partial,17,59,2,0
2022-07-01,month,fine_partial,18,57,2,0
2022-07-01,month,fine_partial,19,55,2,0
2022-07-01,month,fine_partial,20,53,1,0
2022-08-01,month,direct_full20,5,590,124,0
2022-08-01,month,direct_mature5,5,665,145,75
2022-08-01,month,coarse_full20,1,590,344,0
2022-08-01,month,coarse_full20,3,246,94,0
2022-08-01,month,coarse_full20,5,152,28,0
2022-08-01,month,coarse_full20,10,124,26,0
2022-08-01,month,coarse_full20,20,98,32,0
2022-08-01,month,coarse_partial,1,685,390,95
2022-08-01,month,coarse_partial,3,288,102,42
2022-08-01,month,coarse_partial,5,176,31,24
2022-08-01,month,coarse_partial,10,131,29,7
2022-08-01,month,coarse_partial,20,98,32,0
2022-08-01,month,fine_full20,1,590,344,0
2022-08-01,month,fine_full20,2,246,53,0
2022-08-01,month,fine_full20,3,193,41,0
2022-08-01,month,fine_full20,4,152,13,0
2022-08-01,month,fine_full20,5,139,15,0
2022-08-01,month,fine_full20,6,124,6,0
2022-08-01,month,fine_full20,7,118,8,0
2022-08-01,month,fine_full20,8,110,5,0
2022-08-01,month,fine_full20,9,105,2,0
2022-08-01,month,fine_full20,10,103,5,0
2022-08-01,month,fine_full20,11,98,6,0
2022-08-01,month,fine_full20,12,92,2,0
2022-08-01,month,fine_full20,13,90,6,0
2022-08-01,month,fine_full20,14,84,1,0
2022-08-01,month,fine_full20,15,83,4,0
2022-08-01,month,fine_full20,16,79,6,0
2022-08-01,month,fine_full20,17,73,2,0
2022-08-01,month,fine_full20,18,71,2,0
2022-08-01,month,fine_full20,19,69,2,0
2022-08-01,month,fine_full20,20,67,1,0
2022-08-01,month,fine_partial,1,685,390,95
2022-08-01,month,fine_partial,2,290,60,44
2022-08-01,month,fine_partial,3,228,42,35
2022-08-01,month,fine_partial,4,181,13,29
2022-08-01,month,fine_partial,5,163,18,24
2022-08-01,month,fine_partial,6,141,8,17
2022-08-01,month,fine_partial,7,128,8,10
2022-08-01,month,fine_partial,8,115,5,5
2022-08-01,month,fine_partial,9,110,2,5
2022-08-01,month,fine_partial,10,108,6,5
2022-08-01,month,fine_partial,11,102,8,4
2022-08-01,month,fine_partial,12,94,3,2
2022-08-01,month,fine_partial,13,91,6,1
2022-08-01,month,fine_partial,14,85,1,1
2022-08-01,month,fine_partial,15,84,4,1
2022-08-01,month,fine_partial,16,80,6,1
2022-08-01,month,fine_partial,17,74,2,1
2022-08-01,month,fine_partial,18,72,2,1
2022-08-01,month,fine_partial,19,70,2,1
2022-08-01,month,fine_partial,20,67,1,0
2022-09-01,month,direct_full20,5,695,157,0
2022-09-01,month,direct_mature5,5,770,193,75
2022-09-01,month,coarse_full20,1,695,395,0
2022-09-01,month,coarse_full20,3,300,111,0
2022-09-01,month,coarse_full20,5,189,32,0
2022-09-01,month,coarse_full20,10,157,29,0
2022-09-01,month,coarse_full20,20,128,38,0
2022-09-01,month,coarse_partial,1,790,424,95
2022-09-01,month,coarse_partial,3,358,125,58
2022-09-01,month,coarse_partial,5,231,38,42
2022-09-01,month,coarse_partial,10,183,44,26
2022-09-01,month,coarse_partial,20,128,38,0
2022-09-01,month,fine_full20,1,695,395,0
2022-09-01,month,fine_full20,2,300,65,0
2022-09-01,month,fine_full20,3,235,46,0
2022-09-01,month,fine_full20,4,189,13,0
2022-09-01,month,fine_full20,5,176,19,0
2022-09-01,month,fine_full20,6,157,8,0
2022-09-01,month,fine_full20,7,149,8,0
2022-09-01,month,fine_full20,8,141,5,0
2022-09-01,month,fine_full20,9,136,2,0
2022-09-01,month,fine_full20,10,134,6,0
2022-09-01,month,fine_full20,11,128,8,0
2022-09-01,month,fine_full20,12,120,3,0
2022-09-01,month,fine_full20,13,117,6,0
2022-09-01,month,fine_full20,14,111,1,0
2022-09-01,month,fine_full20,15,110,4,0
2022-09-01,month,fine_full20,16,106,8,0
2022-09-01,month,fine_full20,17,98,3,0
2022-09-01,month,fine_full20,18,95,2,0
2022-09-01,month,fine_full20,19,93,2,0
2022-09-01,month,fine_full20,20,91,1,0
2022-09-01,month,fine_partial,1,790,424,95
2022-09-01,month,fine_partial,2,362,74,62
2022-09-01,month,fine_partial,3,284,51,49
2022-09-01,month,fine_partial,4,232,15,43
2022-09-01,month,fine_partial,5,216,23,40
2022-09-01,month,fine_partial,6,188,13,31
2022-09-01,month,fine_partial,7,170,12,21
2022-09-01,month,fine_partial,8,158,8,17
2022-09-01,month,fine_partial,9,150,3,14
2022-09-01,month,fine_partial,10,147,8,13
2022-09-01,month,fine_partial,11,139,11,11
2022-09-01,month,fine_partial,12,128,5,8
2022-09-01,month,fine_partial,13,123,7,6
2022-09-01,month,fine_partial,14,116,1,5
2022-09-01,month,fine_partial,15,114,4,4
2022-09-01,month,fine_partial,16,109,8,3
2022-09-01,month,fine_partial,17,101,3,3
2022-09-01,month,fine_partial,18,97,2,2
2022-09-01,month,fine_partial,19,94,2,1
2022-09-01,month,fine_partial,20,91,1,0
2022-10-01,quarter,direct_full20,5,805,205,0
2022-10-01,quarter,direct_mature5,5,880,212,75
2022-10-01,quarter,coarse_full20,1,805,432,0
2022-10-01,quarter,coarse_full20,3,373,130,0
2022-10-01,quarter,coarse_full20,5,243,38,0
2022-10-01,quarter,coarse_full20,10,205,48,0
2022-10-01,quarter,coarse_full20,20,157,57,0
2022-10-01,quarter,coarse_partial,1,900,484,95
2022-10-01,quarter,coarse_partial,3,406,147,33
2022-10-01,quarter,coarse_partial,5,257,45,14
2022-10-01,quarter,coarse_partial,10,211,54,6
2022-10-01,quarter,coarse_partial,20,157,57,0
2022-10-01,quarter,fine_full20,1,805,432,0
2022-10-01,quarter,fine_full20,2,373,79,0
2022-10-01,quarter,fine_full20,3,294,51,0
2022-10-01,quarter,fine_full20,4,243,15,0
2022-10-01,quarter,fine_full20,5,228,23,0
2022-10-01,quarter,fine_full20,6,205,13,0
2022-10-01,quarter,fine_full20,7,192,12,0
2022-10-01,quarter,fine_full20,8,180,8,0
2022-10-01,quarter,fine_full20,9,172,6,0
2022-10-01,quarter,fine_full20,10,166,9,0
2022-10-01,quarter,fine_full20,11,157,11,0
2022-10-01,quarter,fine_full20,12,146,8,0
2022-10-01,quarter,fine_full20,13,138,8,0
2022-10-01,quarter,fine_full20,14,130,4,0
2022-10-01,quarter,fine_full20,15,126,5,0
2022-10-01,quarter,fine_full20,16,121,9,0
2022-10-01,quarter,fine_full20,17,112,5,0
2022-10-01,quarter,fine_full20,18,107,3,0
2022-10-01,quarter,fine_full20,19,104,3,0
2022-10-01,quarter,fine_full20,20,101,1,0
2022-10-01,quarter,fine_partial,1,900,484,95
2022-10-01,quarter,fine_partial,2,411,94,38
2022-10-01,quarter,fine_partial,3,312,53,18
2022-10-01,quarter,fine_partial,4,257,16,14
2022-10-01,quarter,fine_partial,5,241,29,13
2022-10-01,quarter,fine_partial,6,212,16,7
2022-10-01,quarter,fine_partial,7,196,14,4
2022-10-01,quarter,fine_partial,8,182,10,2
2022-10-01,quarter,fine_partial,9,172,6,0
2022-10-01,quarter,fine_partial,10,166,9,0
2022-10-01,quarter,fine_partial,11,157,11,0
2022-10-01,quarter,fine_partial,12,146,8,0
2022-10-01,quarter,fine_partial,13,138,8,0
2022-10-01,quarter,fine_partial,14,130,4,0
2022-10-01,quarter,fine_partial,15,126,5,0
2022-10-01,quarter,fine_partial,16,121,9,0
2022-10-01,quarter,fine_partial,17,112,5,0
2022-10-01,quarter,fine_partial,18,107,3,0
2022-10-01,quarter,fine_partial,19,104,3,0
2022-10-01,quarter,fine_partial,20,101,1,0
2022-10-01,month,direct_full20,5,805,205,0
2022-10-01,month,direct_mature5,5,880,212,75
2022-10-01,month,coarse_full20,1,805,432,0
2022-10-01,month,coarse_full20,3,373,130,0
2022-10-01,month,coarse_full20,5,243,38,0
2022-10-01,month,coarse_full20,10,205,48,0
2022-10-01,month,coarse_full20,20,157,57,0
2022-10-01,month,coarse_partial,1,900,484,95
2022-10-01,month,coarse_partial,3,406,147,33
2022-10-01,month,coarse_partial,5,257,45,14
2022-10-01,month,coarse_partial,10,211,54,6
2022-10-01,month,coarse_partial,20,157,57,0
2022-10-01,month,fine_full20,1,805,432,0
2022-10-01,month,fine_full20,2,373,79,0
2022-10-01,month,fine_full20,3,294,51,0
2022-10-01,month,fine_full20,4,243,15,0
2022-10-01,month,fine_full20,5,228,23,0
2022-10-01,month,fine_full20,6,205,13,0
2022-10-01,month,fine_full20,7,192,12,0
2022-10-01,month,fine_full20,8,180,8,0
2022-10-01,month,fine_full20,9,172,6,0
2022-10-01,month,fine_full20,10,166,9,0
2022-10-01,month,fine_full20,11,157,11,0
2022-10-01,month,fine_full20,12,146,8,0
2022-10-01,month,fine_full20,13,138,8,0
